name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Kylian Mbappe,France,Real Madrid,ST,91,97,90,80,92,36,78
Rodri,Spain,Manchester City,CDM,91,66,80,86,84,87,85
Erling Haaland,Norway,Manchester City,ST,91,88,92,70,81,45,88
Jude Bellingham,England,Real Madrid,MOC,90,80,87,83,88,78,83
Vinicius Junior,Brazil,Real Madrid,LW,90,95,84,81,91,29,69
Kevin De Bruyne,Belgium,Manchester City,CM,90,67,87,94,87,65,78
Harry Kane,England,FC Bayern München,ST,90,65,93,84,83,49,82
Martin Odegaard,Norway,Arsenal,CM,89,70,82,89,89,67,66
Gianluigi Donnarumma,Italy,Paris SG,GK,89,90,84,73,90,52,87
Alisson,Brazil,Liverpool,GK,89,86,85,85,89,56,90
Thibaut Courtois,Belgium,Real Madrid,GK,89,85,89,76,90,46,88
Lautaro Martinez,Argentina,Lombardia FC,ST,89,82,88,75,87,54,85
Virgil van Dijk,Netherlands,Liverpool,CB,89,78,60,71,71,89,86
Marc-Andre ter Stegen,Germany,FC Barcelona,GK,89,86,85,89,91,47,86
Mohamed Salah,Egypt,Liverpool,RW,89,89,87,82,88,45,75
Phil Foden,England,Manchester City,RW,88,86,86,85,90,57,63
Lionel Messi,Argentina,Inter Miami CF,RW,88,79,85,87,92,33,64
Antoine Griezmann,France,Atlético de Madrid,ST,88,80,88,87,89,59,75
Ruben Dias,Portugal,Manchester City,CB,88,67,39,70,69,89,87
Robert Lewandowski,Poland,FC Barcelona,ST,88,75,88,79,86,44,84
Federico Valverde,Uruguay,Real Madrid,CM,88,88,82,84,84,80,84
Ederson,Brazil,Manchester City,GK,88,87,82,91,87,64,86
Bernardo Silva,Portugal,Manchester City,CM,88,75,78,86,92,71,69
Jan Oblak,Slovenia,Atlético de Madrid,GK,88,85,90,78,87,46,86
Antonio Rudiger,Germany,Real Madrid,CB,88,82,55,73,70,86,86
Florian Wirtz,Germany,Leverkusen,MOC,88,81,78,87,89,50,67
Gregor Kobel,Switzerland,Borussia Dortmund,GK,88,87,86,73,89,44,87
William Saliba,France,Arsenal,CB,87,82,39,70,74,87,83
Victor Osimhen,Nigeria,Galatasaray,ST,87,89,84,65,81,42,82
Jamal Musiala,Germany,FC Bayern München,MOC,87,84,81,78,90,63,64
Bukayo Saka,England,Arsenal,RW,87,85,83,81,88,60,70
Paulo Dybala,Argentina,AS Roma,MOC,87,80,85,84,89,41,65
Theo Hernandez,France,Milano FC,LB,87,95,76,78,84,81,89
Neymar Jr,Brazil,Al Hilal,LW,87,85,79,84,92,37,60
Declan Rice,England,Arsenal,CDM,87,73,72,82,79,84,85
Frenkie de Jong,Netherlands,FC Barcelona,CM,87,82,69,86,87,77,78
Mike Maignan,France,Milano FC,GK,87,84,83,85,88,64,84
Bruno Fernandes,Portugal,Man Utd,MOC,87,70,85,88,83,65,75
Heung Min Son,"Korea, South",Spurs,ST,87,87,89,81,85,42,73
Marquinhos,Brazil,Paris SG,CB,87,79,56,75,74,89,81
Alessandro Bastoni,Italy,Lombardia FC,CB,87,75,43,75,76,87,83
Ilkay Gundogan,Germany,Manchester City,CM,87,62,83,85,87,74,73
Emiliano Martinez,Argentina,Aston Villa,GK,87,84,82,83,86,56,87
Nicolo Barella,Italy,Lombardia FC,CM,87,81,78,83,86,80,82
Yann Sommer,Switzerland,Lombardia FC,GK,87,83,84,85,89,50,86
Cristiano Ronaldo,Portugal,Al Nassr,ST,86,77,88,77,80,34,77
