name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Identifier
Kylian Mbappe,France,Real Madrid,ST,91,97,90,80,92,36,78,kylianmbappe_FRA
Rodri,Spain,Manchester City,CDM,91,66,80,86,84,87,85,rodri_SPA
Erling Haaland,Norway,Manchester City,ST,91,88,92,70,81,45,88,erlinghaaland_NOR
Jude Bellingham,England,Real Madrid,MOC,90,80,87,83,88,78,83,judebellingham_ENG
Vinicius Junior,Brazil,Real Madrid,LW,90,95,84,81,91,29,69,viniciusjunior_BRA
Kevin De Bruyne,Belgium,Manchester City,CM,90,67,87,94,87,65,78,kevindebruyne_BEL
Harry Kane,England,FC Bayern München,ST,90,65,93,84,83,49,82,harrykane_ENG
Martin Odegaard,Norway,Arsenal,CM,89,70,82,89,89,67,66,martinodegaard_NOR
Gianluigi Donnarumma,Italy,Paris SG,GK,89,90,84,73,90,52,87,gianluigidonnarumma_ITA
Alisson,Brazil,Liverpool,GK,89,86,85,85,89,56,90,alisson_BRA
Thibaut Courtois,Belgium,Real Madrid,GK,89,85,89,76,90,46,88,thibautcourtois_BEL
Lautaro Martinez,Argentina,Lombardia FC,ST,89,82,88,75,87,54,85,lautaromartinez_ARG
Virgil van Dijk,Netherlands,Liverpool,CB,89,78,60,71,71,89,86,virgilvandijk_NET
Marc-Andre ter Stegen,Germany,FC Barcelona,GK,89,86,85,89,91,47,86,marc-andreterstegen_GER
Mohamed Salah,Egypt,Liverpool,RW,89,89,87,82,88,45,75,mohamedsalah_EGY
Phil Foden,England,Manchester City,RW,88,86,86,85,90,57,63,philfoden_ENG
Lionel Messi,Argentina,Inter Miami CF,RW,88,79,85,87,92,33,64,lionelmessi_ARG
Antoine Griezmann,France,Atlético de Madrid,ST,88,80,88,87,89,59,75,antoinegriezmann_FRA
Ruben Dias,Portugal,Manchester City,CB,88,67,39,70,69,89,87,rubendias_POR
Robert Lewandowski,Poland,FC Barcelona,ST,88,75,88,79,86,44,84,robertlewandowski_POL
Federico Valverde,Uruguay,Real Madrid,CM,88,88,82,84,84,80,84,federicovalverde_URU
Ederson,Brazil,Manchester City,GK,88,87,82,91,87,64,86,ederson_BRA
Bernardo Silva,Portugal,Manchester City,CM,88,75,78,86,92,71,69,bernardosilva_POR
Jan Oblak,Slovenia,Atlético de Madrid,GK,88,85,90,78,87,46,86,janoblak_SLO
Antonio Rudiger,Germany,Real Madrid,CB,88,82,55,73,70,86,86,antoniorudiger_GER
Florian Wirtz,Germany,Leverkusen,MOC,88,81,78,87,89,50,67,florianwirtz_GER
Gregor Kobel,Switzerland,Borussia Dortmund,GK,88,87,86,73,89,44,87,gregorkobel_SWI
William Saliba,France,Arsenal,CB,87,82,39,70,74,87,83,williamsaliba_FRA
Victor Osimhen,Nigeria,Galatasaray,ST,87,89,84,65,81,42,82,victorosimhen_NIG
Jamal Musiala,Germany,FC Bayern München,MOC,87,84,81,78,90,63,64,jamalmusiala_GER
Bukayo Saka,England,Arsenal,RW,87,85,83,81,88,60,70,bukayosaka_ENG
Paulo Dybala,Argentina,AS Roma,MOC,87,80,85,84,89,41,65,paulodybala_ARG
Theo Hernandez,France,Milano FC,LB,87,95,76,78,84,81,89,theohernandez_FRA
Neymar Jr,Brazil,Al Hilal,LW,87,85,79,84,92,37,60,neymarjr_BRA
Declan Rice,England,Arsenal,CDM,87,73,72,82,79,84,85,declanrice_ENG
Frenkie de Jong,Netherlands,FC Barcelona,CM,87,82,69,86,87,77,78,frenkiedejong_NET
Mike Maignan,France,Milano FC,GK,87,84,83,85,88,64,84,mikemaignan_FRA
Bruno Fernandes,Portugal,Man Utd,MOC,87,70,85,88,83,65,75,brunofernandes_POR
Heung Min Son,"Korea, South",Spurs,ST,87,87,89,81,85,42,73,heungminson_KOR
Marquinhos,Brazil,Paris SG,CB,87,79,56,75,74,89,81,marquinhos_BRA
Alessandro Bastoni,Italy,Lombardia FC,CB,87,75,43,75,76,87,83,alessandrobastoni_ITA
Ilkay Gundogan,Germany,Manchester City,CM,87,62,83,85,87,74,73,ilkaygundogan_GER
Emiliano Martinez,Argentina,Aston Villa,GK,87,84,82,83,86,56,87,emilianomartinez_ARG
Nicolo Barella,Italy,Lombardia FC,CM,87,81,78,83,86,80,82,nicolobarella_ITA
Yann Sommer,Switzerland,Lombardia FC,GK,87,83,84,85,89,50,86,yannsommer_SWI
Cristiano Ronaldo,Portugal,Al Nassr,ST,86,77,88,77,80,34,77,cristianoronaldo_POR
Gabriel,Brazil,Arsenal,CB,86,69,41,63,61,86,82,gabriel_BRA
Granit Xhaka,Switzerland,Leverkusen,CDM,86,50,75,85,74,79,82,granitxhaka_SWI
Rodrygo,Brazil,Real Madrid,RW,86,89,81,79,88,31,64,rodrygo_BRA
Joao Cancelo,Portugal,Al Hilal,LB,86,81,73,85,85,80,72,joaocancelo_POR
Rafael Leao,Portugal,Milano FC,LW,86,94,79,80,87,28,77,rafaelleao_POR
Grimaldo,Spain,Leverkusen,LM,86,74,73,88,85,76,71,grimaldo_SPA
Luka Modric,Croatia,Real Madrid,CM,86,72,76,88,87,71,64,lukamodric_CRO
Alexis Mac Allister,Argentina,Liverpool,CM,86,69,82,85,84,76,76,alexismacallister_ARG
Carvajal,Spain,Real Madrid,RB,86,81,58,79,81,81,79,carvajal_SPA
Ousmane Dembele,France,Paris SG,RW,86,92,75,82,88,41,57,ousmanedembele_FRA
Trent Alexander-Arnold,England,Liverpool,RB,86,75,72,90,80,80,74,trentalexander-arnold_ENG
Pedri,Spain,FC Barcelona,CM,86,77,69,82,88,70,74,pedri_SPA
Jonathan Tah,Germany,Leverkusen,CB,86,71,38,60,62,86,84,jonathantah_GER
Karim Benzema,France,Al Ittihad,ST,86,77,85,81,84,38,77,karimbenzema_FRA
Bremer,Brazil,Juventus,CB,86,82,50,58,66,86,85,bremer_BRA
Joshua Kimmich,Germany,FC Bayern München,RB,86,69,74,88,84,81,77,joshuakimmich_GER
Unai Simon,Spain,Athletic Club,GK,86,85,81,78,86,49,85,unaisimon_SPA
Manuel Neuer,Germany,FC Bayern München,GK,86,83,81,90,83,49,88,manuelneuer_GER
Hakan Calhanoglu,Turkey,Lombardia FC,CDM,86,71,80,87,85,79,76,hakancalhanoglu_TUR
Khvicha Kvaratskhelia,Georgia,SSC Napoli,LW,85,86,79,80,86,41,71,khvichakvaratskhelia_GEO
David Alaba,Austria,Real Madrid,CB,85,79,71,83,80,85,77,davidalaba_AUS
Ronald Araujo,Uruguay,FC Barcelona,CB,85,82,53,64,62,85,84,ronaldaraujo_URU
Julian Brandt,Germany,Borussia Dortmund,MOC,85,71,79,85,86,50,70,julianbrandt_GER
Eder Militao,Brazil,Real Madrid,CB,85,85,50,69,71,85,82,edermilitao_BRA
Bruno Guimaraes,Brazil,Newcastle Utd,CDM,85,68,75,83,84,79,83,brunoguimaraes_BRA
Alexander Isak,Sweden,Newcastle Utd,ST,85,85,84,73,86,39,74,alexanderisak_SWE
N'Golo Kante,France,Al Ittihad,CDM,85,76,65,73,80,85,78,n'golokante_FRA
Jules Kounde,France,FC Barcelona,RB,85,84,45,70,75,86,80,juleskounde_FRA
Vitinha,Portugal,Paris SG,CM,85,72,77,84,87,73,68,vitinha_POR
James Maddison,England,Spurs,MOC,85,71,81,86,86,54,63,jamesmaddison_ENG
Riyad Mahrez,Algeria,Al Ahli,RM,85,79,81,81,88,39,62,riyadmahrez_ALG
Giorgi Mamardashvili,Georgia,Valencia CF,GK,85,86,83,72,85,48,85,giorgimamardashvili_GEO
Mikel Merino,Spain,Arsenal,CM,85,72,79,82,82,83,82,mikelmerino_SPA
Sergej Milinkovic-Savic,Serbia,Al Hilal,CM,85,64,80,81,82,78,88,sergejmilinkovic-savic_SER
Lois Openda,Belgium,RB Leipzig,ST,85,93,84,69,81,31,79,loisopenda_BEL
Palhinha,Portugal,FC Bayern München,CDM,85,52,68,72,74,85,90,palhinha_POR
Cole Palmer,England,Chelsea,RM,85,75,82,83,86,50,66,colepalmer_ENG
Andrew Robertson,Scotland,Liverpool,LB,85,78,61,82,79,81,78,andrewrobertson_SCO
Leroy Sane,Germany,FC Bayern München,RM,85,90,83,80,86,37,70,leroysane_GER
Nico Schlotterbeck,Germany,Borussia Dortmund,CB,85,77,59,70,73,85,82,nicoschlotterbeck_GER
John Stones,England,Manchester City,CB,85,69,58,75,79,85,77,johnstones_ENG
Aurelien Tchouameni,France,Real Madrid,CDM,85,73,69,79,78,82,82,aurelientchouameni_FRA
Diogo Jota,Portugal,Liverpool,ST,85,82,82,75,84,57,79,diogojota_POR
Sandro Tonali,Italy,Newcastle Utd,CDM,85,84,74,81,81,82,82,sandrotonali_ITA
Ollie Watkins,England,Aston Villa,ST,85,85,83,73,80,50,83,olliewatkins_ENG
Nico Williams,Spain,Athletic Club,LM,85,93,75,78,86,36,65,nicowilliams_SPA
Francesco Acerbi,Italy,Lombardia FC,CB,84,60,50,64,65,86,80,francescoacerbi_ITA
Manuel Akanji,Switzerland,Manchester City,CB,84,78,48,71,75,85,82,manuelakanji_SWI
Nathan Ake,Netherlands,Manchester City,CB,84,76,53,72,75,84,77,nathanake_NET
Julian Alvarez,Argentina,Atlético de Madrid,ST,84,85,84,80,85,57,78,julianalvarez_ARG
Iago Aspas,Spain,RC Celta,ST,84,81,86,79,86,35,65,iagoaspas_SPA
Yassine Bounou,Morocco,Al Hilal,GK,84,81,82,77,86,38,83,yassinebounou_MOR
Federico Chiesa,Italy,Liverpool,RW,84,93,83,76,86,52,75,federicochiesa_ITA
Kingsley Coman,France,FC Bayern München,LM,84,89,75,79,87,30,62,kingsleycoman_FRA
Ruben Neves,Portugal,Al Hilal,CDM,84,57,75,86,77,77,77,rubenneves_POR
Matthijs de Ligt,Netherlands,Man Utd,CB,84,62,61,63,67,85,83,matthijsdeligt_NET
Rodrigo De Paul,Argentina,Atlético de Madrid,CM,84,76,77,83,82,76,82,rodrigodepaul_ARG
Raphinha,Brazil,FC Barcelona,RW,84,91,79,78,86,53,73,raphinha_BRA
Luis Diaz,Colombia,Liverpool,LW,84,90,80,75,87,39,75,luisdiaz_COL
Federico Dimarco,Italy,Lombardia FC,LB,84,80,77,84,83,78,81,federicodimarco_ITA
Artem Dovbyk,Ukraine,AS Roma,ST,84,84,85,69,79,34,81,artemdovbyk_UKR
Jeremie Frimpong,Netherlands,Leverkusen,RM,84,93,62,75,86,75,69,jeremiefrimpong_NET
Aleix Garcia,Spain,Leverkusen,CM,84,67,77,85,84,76,68,aleixgarcia_SPA
Jack Grealish,England,Manchester City,LW,84,76,76,82,88,53,73,jackgrealish_ENG
Serhou Guirassy,Guinea,Borussia Dortmund,ST,84,69,86,71,80,39,79,serhouguirassy_GUI
Viktor Gyokeres,Sweden,Sporting CP,ST,84,90,83,67,80,36,91,viktorgyokeres_SWE
Achraf Hakimi,Morocco,Paris SG,RB,84,91,76,80,80,75,78,achrafhakimi_MOR
Lukas Hradecky,Finland,Leverkusen,GK,84,85,80,69,87,40,82,lukashradecky_FIN
Kalidou Koulibaly,Senegal,Al Hilal,CB,84,76,48,64,67,85,84,kalidoukoulibaly_SEN
Sadio Mane,Senegal,Al Nassr,LM,84,83,81,78,86,44,75,sadiomane_SEN
Lisandro Martinez,Argentina,Man Utd,CB,84,71,59,78,79,85,81,lisandromartinez_ARG
Diogo Costa,Portugal,FC Porto,GK,84,83,78,82,86,35,83,diogocosta_POR
Ferland Mendy,France,Real Madrid,LB,84,89,64,76,76,81,85,ferlandmendy_FRA
Christopher Nkunku,France,Chelsea,MOC,84,81,81,81,86,60,67,christophernkunku_FRA
Dani Olmo,Spain,FC Barcelona,MOC,84,73,77,82,87,50,57,daniolmo_SPA
Exequiel Palacios,Argentina,Leverkusen,CM,84,69,76,79,82,82,73,exequielpalacios_ARG
Benjamin Pavard,France,Lombardia FC,CB,84,75,67,75,75,86,81,benjaminpavard_FRA
Alex Remiro,Spain,Real Sociedad,GK,84,84,79,80,86,42,86,alexremiro_SPA
Cristian Romero,Argentina,Spurs,CB,84,68,46,59,66,85,81,cristianromero_ARG
Marcel Sabitzer,Austria,Borussia Dortmund,CM,84,76,84,81,82,75,79,marcelsabitzer_AUS
Casemiro,Brazil,Man Utd,CDM,84,38,74,77,69,82,82,casemiro_BRA
Guglielmo Vicario,Italy,Spurs,GK,84,84,80,79,87,52,84,guglielmovicario_ITA
