Identifier,name,nation,club,field,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
kylianmbappe_FRA,Kylian Mbappe,France,Real Madrid,FW,Striker,91,97,90,80,92,36,78
rodri_SPA,Rodri,Spain,Manchester City,MF,Defensive_Midfielder,91,66,80,86,84,87,85
erlinghaaland_NOR,Erling Haaland,Norway,Manchester City,FW,Striker,91,88,92,70,81,45,88
judebellingham_ENG,Jude Bellingham,England,Real Madrid,MF,Attacking_Midfielder,90,80,87,83,88,78,83
viniciusjunior_BRA,Vinicius Junior,Brazil,Real Madrid,FW,Left_Winger,90,95,84,81,91,29,69
kevindebruyne_BEL,Kevin De Bruyne,Belgium,Manchester City,MF,Central_Midfielder,90,67,87,94,87,65,78
harrykane_ENG,Harry Kane,England,FC Bayern München,FW,Striker,90,65,93,84,83,49,82
martinodegaard_NOR,Martin Odegaard,Norway,Arsenal,MF,Central_Midfielder,89,70,82,89,89,67,66
gianluigidonnarumma_ITA,Gianluigi Donnarumma,Italy,Paris SG,GK,Goalkeeper,89,90,84,73,90,52,87
alisson_BRA,Alisson,Brazil,Liverpool,GK,Goalkeeper,89,86,85,85,89,56,90
thibautcourtois_BEL,Thibaut Courtois,Belgium,Real Madrid,GK,Goalkeeper,89,85,89,76,90,46,88
lautaromartinez_ARG,Lautaro Martinez,Argentina,Lombardia FC,FW,Striker,89,82,88,75,87,54,85
virgilvandijk_NET,Virgil van Dijk,Netherlands,Liverpool,DF,Centre_Back,89,78,60,71,71,89,86
marc-andreterstegen_GER,Marc-Andre ter Stegen,Germany,FC Barcelona,GK,Goalkeeper,89,86,85,89,91,47,86
mohamedsalah_EGY,Mohamed Salah,Egypt,Liverpool,FW,Right_Winger,89,89,87,82,88,45,75
philfoden_ENG,Phil Foden,England,Manchester City,FW,Right_Winger,88,86,86,85,90,57,63
lionelmessi_ARG,Lionel Messi,Argentina,Inter Miami CF,FW,Right_Winger,88,79,85,87,92,33,64
antoinegriezmann_FRA,Antoine Griezmann,France,Atlético de Madrid,FW,Striker,88,80,88,87,89,59,75
rubendias_POR,Ruben Dias,Portugal,Manchester City,DF,Centre_Back,88,67,39,70,69,89,87
robertlewandowski_POL,Robert Lewandowski,Poland,FC Barcelona,FW,Striker,88,75,88,79,86,44,84
federicovalverde_URU,Federico Valverde,Uruguay,Real Madrid,MF,Central_Midfielder,88,88,82,84,84,80,84
ederson_BRA,Ederson,Brazil,Manchester City,GK,Goalkeeper,88,87,82,91,87,64,86
bernardosilva_POR,Bernardo Silva,Portugal,Manchester City,MF,Central_Midfielder,88,75,78,86,92,71,69
janoblak_SLO,Jan Oblak,Slovenia,Atlético de Madrid,GK,Goalkeeper,88,85,90,78,87,46,86
antoniorudiger_GER,Antonio Rudiger,Germany,Real Madrid,DF,Centre_Back,88,82,55,73,70,86,86
florianwirtz_GER,Florian Wirtz,Germany,Leverkusen,MF,Attacking_Midfielder,88,81,78,87,89,50,67
gregorkobel_SWI,Gregor Kobel,Switzerland,Borussia Dortmund,GK,Goalkeeper,88,87,86,73,89,44,87
williamsaliba_FRA,William Saliba,France,Arsenal,DF,Centre_Back,87,82,39,70,74,87,83
victorosimhen_NIG,Victor Osimhen,Nigeria,Galatasaray,FW,Striker,87,89,84,65,81,42,82
jamalmusiala_GER,Jamal Musiala,Germany,FC Bayern München,MF,Attacking_Midfielder,87,84,81,78,90,63,64
bukayosaka_ENG,Bukayo Saka,England,Arsenal,FW,Right_Winger,87,85,83,81,88,60,70
paulodybala_ARG,Paulo Dybala,Argentina,AS Roma,MF,Attacking_Midfielder,87,80,85,84,89,41,65
theohernandez_FRA,Theo Hernandez,France,Milano FC,DF,Left_Back,87,95,76,78,84,81,89
declanrice_ENG,Declan Rice,England,Arsenal,MF,Defensive_Midfielder,87,73,72,82,79,84,85
frenkiedejong_NET,Frenkie de Jong,Netherlands,FC Barcelona,MF,Central_Midfielder,87,82,69,86,87,77,78
mikemaignan_FRA,Mike Maignan,France,Milano FC,GK,Goalkeeper,87,84,83,85,88,64,84
brunofernandes_POR,Bruno Fernandes,Portugal,Man Utd,MF,Attacking_Midfielder,87,70,85,88,83,65,75
marquinhos_BRA,Marquinhos,Brazil,Paris SG,DF,Centre_Back,87,79,56,75,74,89,81
alessandrobastoni_ITA,Alessandro Bastoni,Italy,Lombardia FC,DF,Centre_Back,87,75,43,75,76,87,83
ilkaygundogan_GER,Ilkay Gundogan,Germany,Manchester City,MF,Central_Midfielder,87,62,83,85,87,74,73
emilianomartinez_ARG,Emiliano Martinez,Argentina,Aston Villa,GK,Goalkeeper,87,84,82,83,86,56,87
nicolobarella_ITA,Nicolo Barella,Italy,Lombardia FC,MF,Central_Midfielder,87,81,78,83,86,80,82
yannsommer_SWI,Yann Sommer,Switzerland,Lombardia FC,GK,Goalkeeper,87,83,84,85,89,50,86
cristianoronaldo_POR,Cristiano Ronaldo,Portugal,Al Nassr,FW,Striker,86,77,88,77,80,34,77
granitxhaka_SWI,Granit Xhaka,Switzerland,Leverkusen,MF,Defensive_Midfielder,86,50,75,85,74,79,82
rodrygo_BRA,Rodrygo,Brazil,Real Madrid,FW,Right_Winger,86,89,81,79,88,31,64
joaocancelo_POR,Joao Cancelo,Portugal,Al Hilal,DF,Left_Back,86,81,73,85,85,80,72
rafaelleao_POR,Rafael Leao,Portugal,Milano FC,FW,Left_Winger,86,94,79,80,87,28,77
lukamodric_CRO,Luka Modric,Croatia,Real Madrid,MF,Central_Midfielder,86,72,76,88,87,71,64
alexismacallister_ARG,Alexis Mac Allister,Argentina,Liverpool,MF,Central_Midfielder,86,69,82,85,84,76,76
ousmanedembele_FRA,Ousmane Dembele,France,Paris SG,FW,Right_Winger,86,92,75,82,88,41,57
trentalexander-arnold_ENG,Trent Alexander-Arnold,England,Liverpool,DF,Right_Back,86,75,72,90,80,80,74
pedri_SPA,Pedri,Spain,FC Barcelona,MF,Central_Midfielder,86,77,69,82,88,70,74
jonathantah_GER,Jonathan Tah,Germany,Leverkusen,DF,Centre_Back,86,71,38,60,62,86,84
karimbenzema_FRA,Karim Benzema,France,Al Ittihad,FW,Striker,86,77,85,81,84,38,77
bremer_BRA,Bremer,Brazil,Juventus,DF,Centre_Back,86,82,50,58,66,86,85
joshuakimmich_GER,Joshua Kimmich,Germany,FC Bayern München,DF,Right_Back,86,69,74,88,84,81,77
unaisimon_SPA,Unai Simon,Spain,Athletic Club,GK,Goalkeeper,86,85,81,78,86,49,85
manuelneuer_GER,Manuel Neuer,Germany,FC Bayern München,GK,Goalkeeper,86,83,81,90,83,49,88
hakancalhanoglu_TUR,Hakan Calhanoglu,Turkey,Lombardia FC,MF,Defensive_Midfielder,86,71,80,87,85,79,76
khvichakvaratskhelia_GEO,Khvicha Kvaratskhelia,Georgia,SSC Napoli,FW,Left_Winger,85,86,79,80,86,41,71
ronaldaraujo_URU,Ronald Araujo,Uruguay,FC Barcelona,DF,Centre_Back,85,82,53,64,62,85,84
julianbrandt_GER,Julian Brandt,Germany,Borussia Dortmund,MF,Attacking_Midfielder,85,71,79,85,86,50,70
edermilitao_BRA,Eder Militao,Brazil,Real Madrid,DF,Centre_Back,85,85,50,69,71,85,82
brunoguimaraes_BRA,Bruno Guimaraes,Brazil,Newcastle Utd,MF,Defensive_Midfielder,85,68,75,83,84,79,83
alexanderisak_SWE,Alexander Isak,Sweden,Newcastle Utd,FW,Striker,85,85,84,73,86,39,74
n'golokante_FRA,N'Golo Kante,France,Al Ittihad,MF,Defensive_Midfielder,85,76,65,73,80,85,78
juleskounde_FRA,Jules Kounde,France,FC Barcelona,DF,Right_Back,85,84,45,70,75,86,80
vitinha_POR,Vitinha,Portugal,Paris SG,MF,Central_Midfielder,85,72,77,84,87,73,68
jamesmaddison_ENG,James Maddison,England,Spurs,MF,Attacking_Midfielder,85,71,81,86,86,54,63
riyadmahrez_ALG,Riyad Mahrez,Algeria,Al Ahli,MF,Side_Midfielder,85,79,81,81,88,39,62
giorgimamardashvili_GEO,Giorgi Mamardashvili,Georgia,Valencia CF,GK,Goalkeeper,85,86,83,72,85,48,85
mikelmerino_SPA,Mikel Merino,Spain,Arsenal,MF,Central_Midfielder,85,72,79,82,82,83,82
sergejmilinkovic-savic_SER,Sergej Milinkovic-Savic,Serbia,Al Hilal,MF,Central_Midfielder,85,64,80,81,82,78,88
loisopenda_BEL,Lois Openda,Belgium,RB Leipzig,FW,Striker,85,93,84,69,81,31,79
colepalmer_ENG,Cole Palmer,England,Chelsea,MF,Side_Midfielder,85,75,82,83,86,50,66
andrewrobertson_SCO,Andrew Robertson,Scotland,Liverpool,DF,Left_Back,85,78,61,82,79,81,78
leroysane_GER,Leroy Sane,Germany,FC Bayern München,MF,Side_Midfielder,85,90,83,80,86,37,70
nicoschlotterbeck_GER,Nico Schlotterbeck,Germany,Borussia Dortmund,DF,Centre_Back,85,77,59,70,73,85,82
johnstones_ENG,John Stones,England,Manchester City,DF,Centre_Back,85,69,58,75,79,85,77
aurelientchouameni_FRA,Aurelien Tchouameni,France,Real Madrid,MF,Defensive_Midfielder,85,73,69,79,78,82,82
sandrotonali_ITA,Sandro Tonali,Italy,Newcastle Utd,MF,Defensive_Midfielder,85,84,74,81,81,82,82
olliewatkins_ENG,Ollie Watkins,England,Aston Villa,FW,Striker,85,85,83,73,80,50,83
nicowilliams_SPA,Nico Williams,Spain,Athletic Club,MF,Side_Midfielder,85,93,75,78,86,36,65
francescoacerbi_ITA,Francesco Acerbi,Italy,Lombardia FC,DF,Centre_Back,84,60,50,64,65,86,80
manuelakanji_SWI,Manuel Akanji,Switzerland,Manchester City,DF,Centre_Back,84,78,48,71,75,85,82
nathanake_NET,Nathan Ake,Netherlands,Manchester City,DF,Centre_Back,84,76,53,72,75,84,77
julianalvarez_ARG,Julian Alvarez,Argentina,Atlético de Madrid,FW,Striker,84,85,84,80,85,57,78
iagoaspas_SPA,Iago Aspas,Spain,RC Celta,FW,Striker,84,81,86,79,86,35,65
federicochiesa_ITA,Federico Chiesa,Italy,Liverpool,FW,Right_Winger,84,93,83,76,86,52,75
