Identifier,name,nation,club,field,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY
aaroncresswell_ENG,Aaron Cresswell,England,West Ham,DF,Left_Back,74,59,59,74,74,75,62
aaronherrera_GUA,Aaron Herrera,Guatemala,D.C. United,DF,Right_Back,71,71,49,69,70,67,75
aaronhickey_SCO,Aaron Hickey,Scotland,Brentford,DF,Right_Back,76,74,54,70,74,74,68
aaronlong_UNI,Aaron Long,United States,LAFC,DF,Centre_Back,70,78,39,54,60,68,80
aaronmolinas_ARG,Aaron Molinas,Argentina,Defensa,MF,Attacking_Midfielder,72,73,57,72,76,51,63
aaronquiros_ARG,Aaron Quiros,Argentina,Vélez Sarsfield,DF,Centre_Back,70,62,49,63,65,72,59
aaronramsdale_ENG,Aaron Ramsdale,England,Southampton,GK,Goalkeeper,81,81,79,85,83,48,78
aaronramsey_ENG,Aaron Ramsey,England,Burnley,MF,Side_Midfielder,70,73,63,67,72,50,60
aaronramsey_WAL,Aaron Ramsey,Wales,Cardiff City,MF,Central_Midfielder,74,45,68,77,77,65,61
aaronzehnter_GER,Aaron Zehnter,Germany,SC Paderborn 07,MF,Side_Midfielder,66,75,54,64,64,61,60
abakarsylla_COT,Abakar Sylla,Cote d'Ivoire,Strasbourg,DF,Centre_Back,72,70,30,56,68,70,76
abdelkaharkadri_ALG,Abdelkahar Kadri,Algeria,KV Kortrijk,MF,Attacking_Midfielder,72,72,67,68,78,61,62
abdelrahmanboudah_SWE,Abdelrahman Boudah,Sweden,Västerås SK,FW,Left_Winger,64,72,59,60,67,41,63
abderrazakhamdallah_MOR,Abderrazak Hamdallah,Morocco,Al Shabab,FW,Striker,78,61,79,70,75,31,79
abdoulayedoucoure_MAL,Abdoulaye Doucoure,Mali,Everton,MF,Attacking_Midfielder,75,57,78,72,74,77,82
abdoulayendiaye_SEN,Abdoulaye Ndiaye,Senegal,Stade Brestois,DF,Centre_Back,70,64,31,49,49,71,71
abdoulayetoure_GUI,Abdoulaye Toure,Guinea,Havre AC,MF,Defensive_Midfielder,72,43,58,62,61,71,78
abdukodirkhusanov_UZB,Abdukodir Khusanov,Uzbekistan,RC Lens,DF,Centre_Back,72,71,39,54,55,71,72
abdulkadiromur_TUR,Abdulkadir Omur,Turkey,Hull City,MF,Attacking_Midfielder,72,82,65,70,77,53,56
abdulkerimbardakci_TUR,Abdulkerim Bardakci,Turkey,Galatasaray,DF,Centre_Back,79,61,45,71,69,79,86
abdulmumin_GHA,Abdul Mumin,Ghana,Rayo Vallecano,DF,Centre_Back,70,77,36,57,63,69,74
abliejallow_GAM,Ablie Jallow,Gambia,FC Metz,MF,Side_Midfielder,71,78,67,67,75,34,46
abubakrbarry_GAM,Abubakr Barry,Gambia,FK Austria Wien,MF,Central_Midfielder,61,66,54,60,62,51,72
achrafhakimi_MOR,Achraf Hakimi,Morocco,Paris SG,DF,Right_Back,84,91,76,80,80,75,78
adalbertocarrasquilla_PAN,Adalberto Carrasquilla,Panama,Houston Dynamo,MF,Central_Midfielder,71,73,63,66,78,60,69
adamarmstrong_ENG,Adam Armstrong,England,Southampton,FW,Striker,75,77,76,66,73,35,68
adamatraore_MAL,Adama Traore,Mali,Ferencvárosi TC,FW,Right_Winger,74,87,71,65,75,23,60
adambuksa_POL,Adam Buksa,Poland,FC Midtjylland,FW,Striker,74,63,74,57,68,32,77
adamdaghim_DEN,Adam Daghim,Denmark,RB Salzburg,FW,Striker,62,81,58,53,67,50,65
adamgnezdacerin_SLO,Adam Gnezda Cerin,Slovenia,Panathinaikos,MF,Central_Midfielder,73,73,63,71,73,62,68
adamhlozek_CZE,Adam Hlozek,Czech Republic,TSG Hoffenheim,FW,Striker,76,75,76,72,76,31,77
adamidah_IRE,Adam Idah,Ireland,Celtic,FW,Striker,73,80,72,57,69,24,78
adamonagalo_BUR,Adamo Nagalo,Burkina Faso,PSV,DF,Centre_Back,71,70,29,55,62,70,77
adamsmith_ENG,Adam Smith,England,AFC Bournemouth,DF,Right_Back,73,65,59,70,70,72,70
adamtaggart_AUS,Adam Taggart,Australia,Perth Glory,FW,Striker,70,83,69,60,68,38,71
adamwebster_ENG,Adam Webster,England,Brighton,DF,Centre_Back,76,54,31,61,68,77,76
adamwharton_ENG,Adam Wharton,England,Crystal Palace,MF,Defensive_Midfielder,78,68,61,78,78,75,71
ademolalookman_NIG,Ademola Lookman,Nigeria,Bergamo Calcio,FW,Striker,82,84,81,71,86,31,66
ademzorgane_ALG,Adem Zorgane,Algeria,Sp. Charleroi,MF,Central_Midfielder,76,55,71,77,74,69,83
adilaouchiche_FRA,Adil Aouchiche,France,Sunderland,MF,Attacking_Midfielder,69,65,63,70,71,56,57
adilsonmalanda_FRA,Adilson Malanda,France,Charlotte FC,DF,Centre_Back,68,61,32,49,55,67,71
adoonaiwu_JAP,Ado Onaiwu,Japan,AJ Auxerre,FW,Striker,70,79,69,61,66,38,69
adrian_SPA,Adrian,Spain,Real Betis,GK,Goalkeeper,70,70,70,67,69,43,69
adrianbernabe_SPA,Adrian Bernabe,Spain,Parma,MF,Attacking_Midfielder,75,79,70,74,78,67,65
adrianmartinez_ARG,Adrian Martinez,Argentina,Racing Club,FW,Striker,76,68,76,58,70,41,82
adrianobertaccini_BEL,Adriano Bertaccini,Belgium,STVV,FW,Striker,67,75,67,59,68,28,60
adrianprzyborek_POL,Adrian Przyborek,Poland,Pogoń Szczecin,MF,Side_Midfielder,61,72,54,54,63,29,53
adriansemper_CRO,Adrian Semper,Croatia,Pisa,GK,Goalkeeper,71,72,68,66,72,31,70
adriapedrosa_SPA,Adria Pedrosa,Spain,Sevilla FC,DF,Left_Back,76,90,60,69,78,69,73
adrientruffert_FRA,Adrien Truffert,France,Stade Rennais FC,DF,Left_Back,77,76,57,71,75,73,69
agustinalvarez_URU,Agustin Alvarez,Uruguay,Elche CF,FW,Striker,70,70,71,61,69,36,69
agustinojeda_ARG,Agustin Ojeda,Argentina,New York City FC,FW,Right_Winger,69,88,56,63,74,41,48
ahmedkutucu_TUR,Ahmed Kutucu,Turkey,Eyüpspor,FW,Striker,67,73,68,58,67,41,69
ahmedtouba_ALG,Ahmed Touba,Algeria,KV Mechelen,DF,Centre_Back,70,72,53,61,62,68,80
ahmetcankaplan_TUR,Ahmetcan Kaplan,Turkey,Ajax,DF,Centre_Back,71,64,30,57,57,71,70
ahnhyunbeom_KOR,Ahn Hyun Beom,"Korea, South",Jeonbuk Hyundai,DF,Right_Back,70,90,61,63,69,60,74
aidanmorris_UNI,Aidan Morris,United States,Middlesbrough,MF,Defensive_Midfielder,73,73,53,61,69,69,81
aideno'neill_AUS,Aiden O'Neill,Australia,Standard Liège,MF,Defensive_Midfielder,70,76,61,65,69,66,78
aihamousou_SYR,Aiham Ousou,Syria,Sp. Charleroi,DF,Centre_Back,71,76,31,59,67,70,74
aimaroroz_SPA,Aimar Oroz,Spain,CA Osasuna,MF,Central_Midfielder,75,68,74,71,76,58,65
aimenmoueffek_MOR,Aimen Moueffek,Morocco,AS Saint-Étienne,MF,Central_Midfielder,68,65,56,64,72,65,66
ainsleymaitland-niles_ENG,Ainsley Maitland-Niles,England,OL,DF,Right_Back,75,76,61,71,73,71,72
aitorparedes_SPA,Aitor Paredes,Spain,Athletic Club,DF,Centre_Back,77,72,36,49,56,78,75
ajanifortune_TRI,Ajani Fortune,Trinidad and Tobago,Atlanta United,MF,Central_Midfielder,57,62,42,55,54,43,55
alan_BRA,Alan,Brazil,Moreirense FC,MF,Attacking_Midfielder,72,75,65,69,75,50,45
alanlescano_ARG,Alan Lescano,Argentina,Argentinos Jrs.,MF,Central_Midfielder,72,65,70,72,73,62,69
alanmatturro_URU,Alan Matturro,Uruguay,Genoa,DF,Centre_Back,66,64,30,52,54,67,64
alanpulido_MEX,Alan Pulido,Mexico,Sporting KC,FW,Striker,72,73,72,66,72,37,71
alanvarela_ARG,Alan Varela,Argentina,FC Porto,MF,Defensive_Midfielder,78,67,62,74,73,74,78
alassaneplea_FRA,Alassane Plea,France,M'gladbach,FW,Striker,77,66,77,79,79,39,71
albanlafont_FRA,Alban Lafont,France,FC Nantes,GK,Goalkeeper,76,75,71,69,81,47,76
albertgronbaek_DEN,Albert Gronbaek,Denmark,Stade Rennais FC,MF,Attacking_Midfielder,75,77,68,72,77,62,72
albertgudmundsson_ICE,Albert Gudmundsson,Iceland,Fiorentina,FW,Striker,80,87,79,70,83,37,72
albertocosta_POR,Alberto Costa,Portugal,Vitória SC,DF,Right_Back,62,67,32,51,57,59,56
albertodossena_ITA,Alberto Dossena,Italy,Como,DF,Centre_Back,74,43,43,52,59,76,75
albertposiadala_POL,Albert Posiadala,Poland,Molde FK,GK,Goalkeeper,66,67,66,64,66,32,67
albertrusnak_SLO,Albert Rusnak,Slovakia,Sounders FC,MF,Attacking_Midfielder,73,73,72,72,75,51,64
albertsambilokonga_BEL,Albert Sambi Lokonga,Belgium,Sevilla FC,MF,Central_Midfielder,75,64,58,74,76,68,71
albianhajdari_SWI,Albian Hajdari,Switzerland,FC Lugano,DF,Centre_Back,67,58,32,47,49,65,74
albykelly-heald_NEW,Alby Kelly-Heald,New Zealand,Well. Phoenix,GK,Goalkeeper,53,56,52,53,52,24,49
aleixgarcia_SPA,Aleix Garcia,Spain,Leverkusen,MF,Central_Midfielder,84,67,77,85,84,76,68
aleksandardragovic_AUS,Aleksandar Dragovic,Austria,FK Austria Wien,DF,Centre_Back,75,54,51,63,64,77,75
aleksandarmitrovic_SER,Aleksandar Mitrovic,Serbia,Al Hilal,FW,Striker,82,64,82,62,73,28,88
aleksandarpavlovic_GER,Aleksandar Pavlovic,Germany,FC Bayern München,MF,Defensive_Midfielder,73,69,60,75,72,68,65
aleksandarstankovic_SER,Aleksandar Stankovic,Serbia,FC Luzern,MF,Defensive_Midfielder,60,65,33,52,50,57,58
aleksaterzic_SER,Aleksa Terzic,Serbia,RB Salzburg,DF,Left_Back,71,82,45,59,70,66,62
alemao_BRA,Alemao,Brazil,R. Oviedo,FW,Striker,70,74,71,63,68,25,76
alensherri_ALB,Alen Sherri,Albania,Cagliari,GK,Goalkeeper,65,66,61,61,68,34,63
alessandrobastoni_ITA,Alessandro Bastoni,Italy,Lombardia FC,DF,Centre_Back,87,75,43,75,76,87,83
alessandrobuongiorno_ITA,Alessandro Buongiorno,Italy,SSC Napoli,DF,Centre_Back,80,65,45,69,65,82,76
alessandrocircati_AUS,Alessandro Circati,Australia,Parma,DF,Centre_Back,73,61,35,53,49,74,74
alessandroflorenzi_ITA,Alessandro Florenzi,Italy,Milano FC,DF,Right_Back,76,70,76,80,79,75,56
alessandrolopane_AUS,Alessandro Lopane,Australia,Melbourne City,MF,Central_Midfielder,60,69,52,57,65,49,56
