Name,Age,Nation,Position,Club,League,Confederation,Billion_KRW,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Name_ID
Aaron Cresswell,35,England,Left_Back,Stoke City,Championship,UEFA,8.1,DF,74,59,59,74,74,75,62,aaroncresswell_ENG
Aaron Herrera,28,Guatemala,Right_Back,D.C. United,MLS,CONCACAF,32.5,DF,71,71,49,69,70,67,75,aaronherrera_GUA
Aaron Hickey,23,Scotland,Right_Back,Brentford FC,PremierLeague,UEFA,162.5,DF,76,74,54,70,74,74,68,aaronhickey_SCO
Aaron Long,32,United States,Centre_Back,Los Angeles FC,MLS,CONCACAF,24.4,DF,70,78,39,54,60,68,80,aaronlong_UNI
Aaron Molinas,24,Argentina,Attacking_Midfielder,Defensa y Justicia,Liga_Profesional,CONMEBOL,48.8,MF,72,73,57,72,76,51,63,aaronmolinas_ARG
Aaron Quiros,23,Argentina,Centre_Back,CA Vélez Sarsfield,Liga_Profesional,CONMEBOL,52.0,DF,70,62,49,63,65,72,59,aaronquiros_ARG
Aaron Ramsdale,27,England,Goalkeeper,Southampton FC,Championship,UEFA,260.0,GK,81,81,79,85,83,48,78,aaronramsdale_ENG
Aaron Ramsey,22,England,Attacking_Midfielder,Burnley FC,PremierLeague,UEFA,162.5,MF,70,73,63,67,72,50,60,aaronramsey_ENG
Aaron Ramsey,34,Wales,Central_Midfielder,UNAM Pumas,Liga_MX,UEFA,9.8,MF,74,45,68,77,77,65,61,aaronramsey_WAL
Aaron Zehnter,20,Germany,Side_Midfielder,VfL Wolfsburg,Bundesliga,UEFA,97.5,MF,66,75,54,64,64,61,60,aaronzehnter_GER
Abakar Sylla,22,Cote d'Ivoire,Centre_Back,RC Strasbourg Alsace,Ligue1,CAF,162.5,DF,72,70,30,56,68,70,76,abakarsylla_COT
Abdelkahar Kadri,25,Algeria,Attacking_Midfielder,KV Kortrijk,Other_leagues,CAF,35.8,MF,72,72,67,68,78,61,62,abdelkaharkadri_ALG
Abdelrahman Boudah,25,Sweden,Left_Winger,Albirex Niigata,J1_League,UEFA,19.5,FW,64,72,59,60,67,41,63,abdelrahmanboudah_SWE
Abderrazak Hamdallah,34,Morocco,Striker,Al-Hilal SFC,Saudi_ProLeague,CAF,29.2,FW,78,61,79,70,75,31,79,abderrazakhamdallah_MOR
Abdoulaye Doucoure,32,Mali,Attacking_Midfielder,Everton FC,PremierLeague,CAF,113.8,MF,75,57,78,72,74,77,82,abdoulayedoucoure_MAL
Abdoulaye Ndiaye,23,Senegal,Centre_Back,ESTAC Troyes,Ligue2,CAF,65.0,DF,70,64,31,49,49,71,71,abdoulayendiaye_SEN
Abdoulaye Toure,31,Guinea,Defensive_Midfielder,Le Havre AC,Ligue1,CAF,48.8,MF,72,43,58,62,61,71,78,abdoulayetoure_GUI
Abdukodir Khusanov,21,Uzbekistan,Centre_Back,Manchester City,PremierLeague,AFC,568.8,DF,72,71,39,54,55,71,72,abdukodirkhusanov_UZB
Abdulkadir Omur,26,Turkey,Attacking_Midfielder,Antalyaspor,SuperLig,UEFA,58.5,MF,72,82,65,70,77,53,56,abdulkadiromur_TUR
Abdulkerim Bardakci,30,Turkey,Centre_Back,Galatasaray,SuperLig,UEFA,113.8,DF,79,61,45,71,69,79,86,abdulkerimbardakci_TUR
Abdul Mumin,27,Ghana,Centre_Back,Rayo Vallecano,LaLiga,CAF,81.2,DF,70,77,36,57,63,69,74,abdulmumin_GHA
Ablie Jallow,26,Gambia,Side_Midfielder,Servette FC,Swiss_SuperLeague,CAF,24.4,MF,71,78,67,67,75,34,46,abliejallow_GAM
Abubakr Barry,25,Gambia,Central_Midfielder,Austria Vienna,Austria_Bundesliga,CAF,32.5,MF,61,66,54,60,62,51,72,abubakrbarry_GAM
Achraf Hakimi,26,Morocco,Right_Back,Paris Saint-Germain,Ligue1,CAF,1300.0,DF,84,91,76,80,80,75,78,achrafhakimi_MOR
Adalberto Carrasquilla,26,Panama,Central_Midfielder,UNAM Pumas,Liga_MX,CONCACAF,61.8,MF,71,73,63,66,78,60,69,adalbertocarrasquilla_PAN
Adam Armstrong,28,England,Striker,Southampton FC,Championship,UEFA,195.0,FW,75,77,76,66,73,35,68,adamarmstrong_ENG
Adama Traore,30,Mali,Right_Winger,Ferencvárosi TC,Other_leagues,CAF,56.9,FW,74,87,71,65,75,23,60,adamatraore_MAL
Adam Buksa,29,Poland,Striker,FC Midtjylland,Danish_Superligaen,UEFA,97.5,FW,74,63,74,57,68,32,77,adambuksa_POL
Adam Daghim,19,Denmark,Striker,Red Bull Salzburg,Austria_Bundesliga,UEFA,81.2,FW,62,81,58,53,67,50,65,adamdaghim_DEN
Adam Gnezda Cerin,26,Slovenia,Central_Midfielder,Panathinaikos FC,SuperLeague1,UEFA,81.2,MF,73,73,63,71,73,62,68,adamgnezdacerin_SLO
Adam Hlozek,23,Czech Republic,Striker,TSG 1899 Hoffenheim,Bundesliga,UEFA,292.5,FW,76,75,76,72,76,31,77,adamhlozek_CZE
Adam Idah,24,Ireland,Striker,Celtic FC,Scottish_Premiership,UEFA,105.6,FW,73,80,72,57,69,24,78,adamidah_IRE
Adamo Nagalo,22,Burkina Faso,Centre_Back,PSV Eindhoven,Eredivisie,CAF,97.5,DF,71,70,29,55,62,70,77,adamonagalo_BUR
Adam Smith,34,England,Right_Back,AFC Bournemouth,PremierLeague,UEFA,12.2,DF,73,65,59,70,70,72,70,adamsmith_ENG
Adam Taggart,32,Australia,Striker,Perth Glory,A_League,AFC,9.8,FW,70,83,69,60,68,38,71,adamtaggart_AUS
Adam Webster,30,England,Centre_Back,Brighton & Hove Albion,PremierLeague,UEFA,178.8,DF,76,54,31,61,68,77,76,adamwebster_ENG
Adam Wharton,21,England,Defensive_Midfielder,Crystal Palace,PremierLeague,UEFA,731.2,MF,78,68,61,78,78,75,71,adamwharton_ENG
Ademola Lookman,27,Nigeria,Striker,Atalanta BC,Serie_A,CAF,975.0,FW,82,84,81,71,86,31,66,ademolalookman_NIG
Adem Zorgane,25,Algeria,Central_Midfielder,Union Saint-Gilloise,Jupiler_ProLeague,CAF,97.5,MF,76,55,71,77,74,69,83,ademzorgane_ALG
Adil Aouchiche,23,France,Attacking_Midfielder,Aberdeen FC,Scottish_Premiership,UEFA,24.4,MF,69,65,63,70,71,56,57,adilaouchiche_FRA
Adilson Malanda,23,France,Centre_Back,Charlotte FC,MLS,UEFA,65.0,DF,68,61,32,49,55,67,71,adilsonmalanda_FRA
Ado Onaiwu,29,Japan,Striker,AJ Auxerre,Ligue1,AFC,24.4,FW,70,79,69,61,66,38,69,adoonaiwu_JAP
Adrian,38,Spain,Goalkeeper,Real Betis Balompié,LaLiga,UEFA,8.1,GK,70,70,70,67,69,43,69,adrian_SPA
Adrian Bernabe,24,Spain,Central_Midfielder,Parma Calcio 1913,Serie_A,UEFA,243.8,MF,75,79,70,74,78,67,65,adrianbernabe_SPA
Adrian Martinez,33,Argentina,Striker,Racing Club,Liga_Profesional,CONMEBOL,56.9,FW,76,68,76,58,70,41,82,adrianmartinez_ARG
Adriano Bertaccini,24,Belgium,Striker,Sint-Truidense VV,Jupiler_ProLeague,UEFA,73.1,FW,67,75,67,59,68,28,60,adrianobertaccini_BEL
Adrian Przyborek,18,Poland,Attacking_Midfielder,Pogon Szczecin,Ekstraklasa,UEFA,65.0,MF,61,72,54,54,63,29,53,adrianprzyborek_POL
Adrian Semper,27,Croatia,Goalkeeper,Pisa Sporting Club,Serie_A,UEFA,56.9,GK,71,72,68,66,72,31,70,adriansemper_CRO
Adria Pedrosa,27,Spain,Left_Back,Sevilla FC,LaLiga,UEFA,113.8,DF,76,90,60,69,78,69,73,adriapedrosa_SPA
Adrien Truffert,23,France,Left_Back,AFC Bournemouth,PremierLeague,UEFA,243.8,DF,77,76,57,71,75,73,69,adrientruffert_FRA
Agustin Alvarez,24,Uruguay,Striker,US Sassuolo,Serie_A,CONMEBOL,65.0,FW,70,70,71,61,69,36,69,agustinalvarez_URU
Agustin Ojeda,21,Argentina,Left_Winger,New York City FC,MLS,CONMEBOL,65.0,FW,69,88,56,63,74,41,48,agustinojeda_ARG
Ahmed Kutucu,25,Turkey,Left_Winger,Galatasaray,SuperLig,UEFA,81.2,FW,67,73,68,58,67,41,69,ahmedkutucu_TUR
Ahmed Touba,27,Algeria,Centre_Back,Panathinaikos FC,SuperLeague1,CAF,40.6,DF,70,72,53,61,62,68,80,ahmedtouba_ALG
Ahmetcan Kaplan,22,Turkey,Centre_Back,Ajax Amsterdam,Eredivisie,UEFA,81.2,DF,71,64,30,57,57,71,70,ahmetcankaplan_TUR
Ahn Hyun Beom,30,"Korea, South",Right_Back,Suwon FC,K_League1,AFC,8.1,DF,70,90,61,63,69,60,74,ahnhyunbeom_KOR
Aidan Morris,23,United States,Central_Midfielder,Middlesbrough FC,Championship,CONCACAF,65.0,MF,73,73,53,61,69,69,81,aidanmorris_UNI
Aiden O'Neill,27,Australia,Defensive_Midfielder,New York City FC,MLS,AFC,48.8,MF,70,76,61,65,69,66,78,aideno'neill_AUS
Aiham Ousou,25,Syria,Centre_Back,Royal Charleroi SC,Jupiler_ProLeague,AFC,40.6,DF,71,76,31,59,67,70,74,aihamousou_SYR
Aimar Oroz,23,Spain,Attacking_Midfielder,CA Osasuna,LaLiga,UEFA,243.8,MF,75,68,74,71,76,58,65,aimaroroz_SPA
