Name,Age,Nation,Position,Club,League,Confederation,MarketValue,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Aaron Cresswell,35,England,Left_Back,Stoke City,Championship,UEFA,8,DF,74,59,59,74,74,75,62
Aaron Herrera,28,Guatemala,Right_Back,D.C. United,MLS,CONCACAF,32,DF,71,71,49,69,70,67,75
Aaron Hickey,23,Scotland,Right_Back,Brentford FC,PremierLeague,UEFA,162,DF,76,74,54,70,74,74,68
Aaron Long,32,United States,Centre_Back,Los Angeles FC,MLS,CONCACAF,24,DF,70,78,39,54,60,68,80
Aaron Molinas,24,Argentina,Attacking_Midfielder,Defensa y Justicia,Liga_Profesional,CONMEBOL,49,MF,72,73,57,72,76,51,63
Aaron Quiros,23,Argentina,Centre_Back,CA Vélez Sarsfield,Liga_Profesional,CONMEBOL,52,DF,70,62,49,63,65,72,59
Aaron Ramsdale,27,England,Goalkeeper,Southampton FC,Championship,UEFA,260,GK,81,81,79,85,83,48,78
Aaron Ramsey,22,England,Attacking_Midfielder,Burnley FC,PremierLeague,UEFA,162,MF,70,73,63,67,72,50,60
Aaron Ramsey,34,Wales,Central_Midfielder,UNAM Pumas,Liga_MX,UEFA,10,MF,74,45,68,77,77,65,61
Aaron Zehnter,20,Germany,Side_Midfielder,VfL Wolfsburg,Bundesliga,UEFA,98,MF,66,75,54,64,64,61,60
Abakar Sylla,22,Cote d'Ivoire,Centre_Back,RC Strasbourg Alsace,Ligue1,CAF,162,DF,72,70,30,56,68,70,76
Abdelkahar Kadri,25,Algeria,Attacking_Midfielder,KV Kortrijk,Other_leagues,CAF,36,MF,72,72,67,68,78,61,62
Abdelrahman Boudah,25,Sweden,Left_Winger,Albirex Niigata,J1_League,UEFA,20,FW,64,72,59,60,67,41,63
Abderrazak Hamdallah,34,Morocco,Striker,Al-Hilal SFC,Saudi_ProLeague,CAF,29,FW,78,61,79,70,75,31,79
Abdoulaye Doucoure,32,Mali,Attacking_Midfielder,Everton FC,PremierLeague,CAF,114,MF,75,57,78,72,74,77,82
Abdoulaye Ndiaye,23,Senegal,Centre_Back,ESTAC Troyes,Ligue2,CAF,65,DF,70,64,31,49,49,71,71
Abdoulaye Toure,31,Guinea,Defensive_Midfielder,Le Havre AC,Ligue1,CAF,49,MF,72,43,58,62,61,71,78
Abdukodir Khusanov,21,Uzbekistan,Centre_Back,Manchester City,PremierLeague,AFC,569,DF,72,71,39,54,55,71,72
Abdulkadir Omur,26,Turkey,Attacking_Midfielder,Antalyaspor,SuperLig,UEFA,58,MF,72,82,65,70,77,53,56
Abdulkerim Bardakci,30,Turkey,Centre_Back,Galatasaray,SuperLig,UEFA,114,DF,79,61,45,71,69,79,86
Abdul Mumin,27,Ghana,Centre_Back,Rayo Vallecano,LaLiga,CAF,81,DF,70,77,36,57,63,69,74
Ablie Jallow,26,Gambia,Side_Midfielder,Servette FC,Swiss_SuperLeague,CAF,24,MF,71,78,67,67,75,34,46
Abubakr Barry,25,Gambia,Central_Midfielder,Austria Vienna,Austria_Bundesliga,CAF,32,MF,61,66,54,60,62,51,72
Achraf Hakimi,26,Morocco,Right_Back,Paris Saint-Germain,Ligue1,CAF,1300,DF,84,91,76,80,80,75,78
Adalberto Carrasquilla,26,Panama,Central_Midfielder,UNAM Pumas,Liga_MX,CONCACAF,62,MF,71,73,63,66,78,60,69
Adam Armstrong,28,England,Striker,Southampton FC,Championship,UEFA,195,FW,75,77,76,66,73,35,68
Adama Traore,30,Mali,Right_Winger,Ferencvárosi TC,Other_leagues,CAF,57,FW,74,87,71,65,75,23,60
Adam Buksa,29,Poland,Striker,FC Midtjylland,Danish_Superligaen,UEFA,98,FW,74,63,74,57,68,32,77
Adam Daghim,19,Denmark,Striker,Red Bull Salzburg,Austria_Bundesliga,UEFA,81,FW,62,81,58,53,67,50,65
Adam Gnezda Cerin,26,Slovenia,Central_Midfielder,Panathinaikos FC,SuperLeague1,UEFA,81,MF,73,73,63,71,73,62,68
Adam Hlozek,23,Czech Republic,Striker,TSG 1899 Hoffenheim,Bundesliga,UEFA,292,FW,76,75,76,72,76,31,77
Adam Idah,24,Ireland,Striker,Celtic FC,Scottish_Premiership,UEFA,106,FW,73,80,72,57,69,24,78
Adamo Nagalo,22,Burkina Faso,Centre_Back,PSV Eindhoven,Eredivisie,CAF,98,DF,71,70,29,55,62,70,77
Adam Smith,34,England,Right_Back,AFC Bournemouth,PremierLeague,UEFA,12,DF,73,65,59,70,70,72,70
Adam Taggart,32,Australia,Striker,Perth Glory,A_League,AFC,10,FW,70,83,69,60,68,38,71
