Name,Age,Nation,Position,Club,League,Confederation,Billion_KRW,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Name_ID
Lamine Yamal,18,Spain,Right_Winger,FC Barcelona,LaLiga,UEFA,3250.0,FW,81,82,75,76,82,23,48,lamineyamal
Erling Haaland,25,Norway,Striker,Manchester City,PremierLeague,UEFA,2925.0,FW,91,88,92,70,81,45,88,erlinghaaland
Kylian Mbappe,26,France,Striker,Real Madrid,LaLiga,UEFA,2925.0,FW,91,97,90,80,92,36,78,kylianmbappe
Jude Bellingham,22,England,Attacking_Midfielder,Real Madrid,LaLiga,UEFA,2925.0,MF,90,80,87,83,88,78,83,bellinghamjude
Vinicius Junior,25,Brazil,Left_Winger,Real Madrid,LaLiga,CONMEBOL,2762.5,FW,90,95,84,81,91,29,69,juniorvinicius
Bukayo Saka,23,England,Right_Winger,Arsenal FC,PremierLeague,UEFA,2437.5,FW,87,85,83,81,88,60,70,bukayosaka
Jamal Musiala,22,Germany,Attacking_Midfielder,Bayern Munich,Bundesliga,UEFA,2275.0,MF,87,84,81,78,90,63,64,jamalmusiala
Florian Wirtz,22,Germany,Attacking_Midfielder,Liverpool FC,PremierLeague,UEFA,2275.0,MF,88,81,78,87,89,50,67,florianwirtz
Pedri,22,Spain,Central_Midfielder,FC Barcelona,LaLiga,UEFA,2275.0,MF,86,77,69,82,88,70,74,pedri
Federico Valverde,27,Uruguay,Central_Midfielder,Real Madrid,LaLiga,CONMEBOL,2112.5,MF,88,88,82,84,84,80,84,federicovalverde
Alexander Isak,25,Sweden,Striker,Newcastle United,PremierLeague,UEFA,1950.0,FW,85,85,84,73,86,39,74,alexanderisak
Cole Palmer,23,England,Attacking_Midfielder,Chelsea FC,PremierLeague,UEFA,1950.0,MF,85,75,82,83,86,50,66,colepalmer
Declan Rice,26,England,Central_Midfielder,Arsenal FC,PremierLeague,UEFA,1950.0,MF,87,73,72,82,79,84,85,declanrice
Rodri,29,Spain,Defensive_Midfielder,Manchester City,PremierLeague,UEFA,1787.5,MF,91,66,80,86,84,87,85,rodri
Alexis Mac Allister,26,Argentina,Central_Midfielder,Liverpool FC,PremierLeague,CONMEBOL,1625.0,MF,86,69,82,85,84,76,76,alexisallistermac
Julian Alvarez,25,Argentina,Striker,Atlético de Madrid,LaLiga,CONMEBOL,1625.0,FW,84,85,84,80,85,57,78,alvarezjulian
Phil Foden,25,England,Right_Winger,Manchester City,PremierLeague,UEFA,1625.0,FW,88,86,86,85,90,57,63,fodenphil
Michael Olise,23,France,Right_Winger,Bayern Munich,Bundesliga,UEFA,1625.0,FW,82,80,77,82,84,53,56,michaelolise
Lautaro Martinez,27,Argentina,Striker,Inter Milan,Serie_A,CONMEBOL,1543.8,FW,89,82,88,75,87,54,85,lautaromartinez
Khvicha Kvaratskhelia,24,Georgia,Left_Winger,Paris Saint-Germain,Ligue1,UEFA,1462.5,FW,85,86,79,80,86,41,71,khvichakvaratskhelia
Desire Doue,20,France,Right_Winger,Paris Saint-Germain,Ligue1,UEFA,1462.5,FW,76,78,69,72,81,52,64,desiredoue
Rodrygo,24,Brazil,Right_Winger,Real Madrid,LaLiga,CONMEBOL,1462.5,FW,86,89,81,79,88,31,64,rodrygo
Raphinha,28,Brazil,Left_Winger,FC Barcelona,LaLiga,CONMEBOL,1462.5,FW,84,91,79,78,86,53,73,raphinha
Moises Caicedo,23,Ecuador,Defensive_Midfielder,Chelsea FC,PremierLeague,CONMEBOL,1462.5,MF,82,75,63,75,78,79,78,caicedomoises
Ousmane Dembele,28,France,Right_Winger,Paris Saint-Germain,Ligue1,UEFA,1462.5,FW,86,92,75,82,88,41,57,dembeleousmane
Martin Odegaard,26,Norway,Attacking_Midfielder,Arsenal FC,PremierLeague,UEFA,1381.2,MF,89,70,82,89,89,67,66,martinodegaard
Pau Cubarsi,18,Spain,Centre_Back,FC Barcelona,LaLiga,UEFA,1300.0,DF,72,67,25,58,69,74,63,cubarsipau
Achraf Hakimi,26,Morocco,Right_Back,Paris Saint-Germain,Ligue1,CAF,1300.0,DF,84,91,76,80,80,75,78,achrafhakimi
Alessandro Bastoni,26,Italy,Centre_Back,Inter Milan,Serie_A,UEFA,1300.0,DF,87,75,43,75,76,87,83,alessandrobastoni
William Saliba,24,France,Centre_Back,Arsenal FC,PremierLeague,UEFA,1300.0,DF,87,82,39,70,74,87,83,salibawilliam
Joao Neves,20,Portugal,Defensive_Midfielder,Paris Saint-Germain,Ligue1,UEFA,1300.0,MF,79,81,68,75,80,75,80,joaoneves
Vitinha,25,Portugal,Central_Midfielder,Paris Saint-Germain,Ligue1,UEFA,1300.0,MF,85,72,77,84,87,73,68,vitinha
Vitinha,25,Portugal,Central_Midfielder,Paris Saint-Germain,Ligue1,UEFA,1300.0,MF,75,73,75,63,75,32,79,vitinha
Dominik Szoboszlai,24,Hungary,Attacking_Midfielder,Liverpool FC,PremierLeague,UEFA,1300.0,MF,81,82,80,84,80,59,70,dominikszoboszlai
