name,position,age,nation,club,value
Lamine Yamal,Right Winger,18,Spain,FC Barcelona,€200.00m
Desire Doue,Right Winger,20,France,Paris Saint-Germain,€90.00m
Pau Cubarsi,Centre-Back,18,Spain,FC Barcelona,€80.00m
Joao Neves,Defensive Midfield,20,Portugal,Paris Saint-Germain,€80.00m
Estevao,Right Winger,18,Brazil,Chelsea FC,€60.00m
Dean Huijsen,Centre-Back,20,Spain,Real Madrid,€60.00m
Gavi,Central Midfield,20,Spain,FC Barcelona,€60.00m
Alejandro Balde,Left-Back,21,Spain,FC Barcelona,€60.00m
Leny Yoro,Centre-Back,19,France,Manchester United,€55.00m
Ethan Nwaneri,Right Winger,18,England,Arsenal FC,€55.00m
Warren Zaire-Emery,Central Midfield,19,France,Paris Saint-Germain,€55.00m
Aleksandar Pavlovic,Defensive Midfield,21,Germany,Bayern Munich,€55.00m
Samu Aghehowa,Centre-Forward,21,Spain,FC Porto,€50.00m
Kenan Yildiz,Left Winger,20,Türkiye,Juventus FC,€50.00m
Kobbie Mainoo,Central Midfield,20,England,Manchester United,€50.00m
Savinho,Right Winger,21,Brazil,Manchester City,€50.00m
Jamie Gittens,Left Winger,20,England,Chelsea FC,€50.00m
Geovany Quenda,Left Winger,18,Portugal,Sporting CP,€45.00m
Ousmane Diomande,Centre-Back,21,Cote d'Ivoire,Sporting CP,€45.00m
Myles Lewis-Skelly,Left-Back,18,England,Arsenal FC,€45.00m
Arda Guler,Right Winger,20,Türkiye,Real Madrid,€45.00m
Alejandro Garnacho,Left Winger,21,Argentina,Manchester United,€45.00m
Adam Wharton,Defensive Midfield,21,England,Crystal Palace,€45.00m
Milos Kerkez,Left-Back,21,Hungary,Liverpool FC,€45.00m
Rayan Cherki,Right Winger,21,France,Manchester City,€45.00m
Carlos Baleba,Defensive Midfield,21,Cameroon,Brighton & Hove Albion,€40.00m
Rodrigo Mora,Attacking Midfield,18,Portugal,FC Porto,€40.00m
Hugo Larsson,Central Midfield,21,Sweden,Eintracht Frankfurt,€40.00m
Rico Lewis,Right-Back,20,England,Manchester City,€40.00m
Romeo Lavia,Defensive Midfield,21,Belgium,Chelsea FC,€40.00m
Archie Gray,Defensive Midfield,19,England,Tottenham Hotspur,€38.00m
Lucas Bergvall,Central Midfield,19,Sweden,Tottenham Hotspur,€38.00m
Endrick,Centre-Forward,19,Brazil,Real Madrid,€35.00m
Nico Paz,Attacking Midfield,20,Argentina,Como 1907,€35.00m
Jorrel Hato,Left-Back,19,Netherlands,Ajax Amsterdam,€35.00m
Santiago Castro,Centre-Forward,20,Argentina,Bologna FC 1909,€35.00m
Mathys Tel,Centre-Forward,20,France,Tottenham Hotspur,€35.00m
Abdukodir Khusanov,Centre-Back,21,Uzbekistan,Manchester City,€35.00m
Andrey Santos,Central Midfield,21,Brazil,Chelsea FC,€35.00m
Jhon Duran,Centre-Forward,21,Colombia,Fenerbahce,€35.00m
Giorgio Scalvini,Centre-Back,21,Italy,Atalanta BC,€35.00m
Lewis Hall,Left-Back,20,England,Newcastle United,€32.00m
Antonio Silva,Centre-Back,21,Portugal,SL Benfica,€32.00m
Jesus Rodriguez,Left Winger,19,Spain,Como 1907,€30.00m
Assane Diao,Left Winger,19,Senegal,Como 1907,€30.00m
Franco Mastantuono,Right Winger,17,Argentina,CA River Plate,€30.00m
Yankuba Minteh,Right Winger,21,The Gambia,Brighton & Hove Albion,€30.00m
