name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Aaron Cresswell,DF,Left_Back,35,England,UEFA,Stoke City,Championship,8.1,aaroncresswell_ENG
Aaron Herrera,DF,Right_Back,28,Guatemala,CONCACAF,D.C. United,MLS,32.5,aaronherrera_GUA
Aaron Hickey,DF,Right_Back,23,Scotland,UEFA,Brentford FC,PremierLeague,162.5,aaronhickey_SCO
Aaron Long,DF,Centre_Back,32,United States,CONCACAF,Los Angeles FC,MLS,24.4,aaronlong_UNI
Aaron Molinas,MF,Attacking_Midfielder,24,Argentina,CONMEBOL,Defensa y Justicia,Liga_Profesional,48.8,aaronmolinas_ARG
Aaron Quiros,DF,Centre_Back,23,Argentina,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,52.0,aaronquiros_ARG
Aaron Ramsdale,GK,Goalkeeper,27,England,UEFA,Southampton FC,Championship,260.0,aaronramsdale_ENG
Aaron Ramsey,MF,Attacking_Midfielder,22,England,UEFA,Burnley FC,PremierLeague,162.5,aaronramsey_ENG
Aaron Ramsey,MF,Central_Midfielder,34,Wales,UEFA,UNAM Pumas,Liga_MX,9.8,aaronramsey_WAL
Aaron Zehnter,MF,Side_Midfielder,20,Germany,UEFA,VfL Wolfsburg,Bundesliga,97.5,aaronzehnter_GER
Abakar Sylla,DF,Centre_Back,22,Cote d'Ivoire,CAF,RC Strasbourg Alsace,Ligue1,162.5,abakarsylla_COT
Abdelkahar Kadri,MF,Attacking_Midfielder,25,Algeria,CAF,KV Kortrijk,Other_leagues,35.8,abdelkaharkadri_ALG
Abdelrahman Boudah,FW,Left_Winger,25,Sweden,UEFA,Albirex Niigata,J1_League,19.5,abdelrahmanboudah_SWE
Abderrazak Hamdallah,FW,Striker,34,Morocco,CAF,Al-Hilal SFC,Saudi_ProLeague,29.2,abderrazakhamdallah_MOR
Abdoulaye Doucoure,MF,Attacking_Midfielder,32,Mali,CAF,Without Club,Without_Club,113.8,abdoulayedoucoure_MAL
Abdoulaye Ndiaye,DF,Centre_Back,23,Senegal,CAF,ESTAC Troyes,Ligue2,65.0,abdoulayendiaye_SEN
Abdoulaye Toure,MF,Defensive_Midfielder,31,Guinea,CAF,Le Havre AC,Ligue1,48.8,abdoulayetoure_GUI
Abdukodir Khusanov,DF,Centre_Back,21,Uzbekistan,AFC,Manchester City,PremierLeague,568.8,abdukodirkhusanov_UZB
Abdulkadir Omur,MF,Attacking_Midfielder,26,Turkey,UEFA,Antalyaspor,SuperLig,58.5,abdulkadiromur_TUR
Abdulkerim Bardakci,DF,Centre_Back,30,Turkey,UEFA,Galatasaray,SuperLig,113.8,abdulkerimbardakci_TUR
Abdul Mumin,DF,Centre_Back,27,Ghana,CAF,Rayo Vallecano,LaLiga,81.2,abdulmumin_GHA
Ablie Jallow,MF,Side_Midfielder,26,Gambia,CAF,Servette FC,Swiss_SuperLeague,24.4,abliejallow_GAM
Abubakr Barry,MF,Central_Midfielder,25,Gambia,CAF,Austria Vienna,Austria_Bundesliga,32.5,abubakrbarry_GAM
Achraf Hakimi,DF,Right_Back,26,Morocco,CAF,Paris Saint-Germain,Ligue1,1300.0,achrafhakimi_MOR
