name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Lamine Yamal,FW,Right_Winger,18,Spain,UEFA,FC Barcelona,LaLiga,3250.0,lamineyamal_SPA
Erling Haaland,FW,Striker,25,Norway,UEFA,Manchester City,PremierLeague,2925.0,erlinghaaland_NOR
Kylian Mbappe,FW,Striker,26,France,UEFA,Real Madrid,LaLiga,2925.0,kylianmbappe_FRA
Jude Bellingham,MF,Attacking_Midfielder,22,England,UEFA,Real Madrid,LaLiga,2925.0,judebellingham_ENG
Vinicius Junior,FW,Left_Winger,25,Brazil,CONMEBOL,Real Madrid,LaLiga,2762.5,viniciusjunior_BRA
Bukayo Saka,FW,Right_Winger,23,England,UEFA,Arsenal FC,PremierLeague,2437.5,bukayosaka_ENG
Jamal Musiala,MF,Attacking_Midfielder,22,Germany,UEFA,Bayern Munich,Bundesliga,2275.0,jamalmusiala_GER
Florian Wirtz,MF,Attacking_Midfielder,22,Germany,UEFA,Liverpool FC,PremierLeague,2275.0,florianwirtz_GER
Pedri,MF,Central_Midfielder,22,Spain,UEFA,FC Barcelona,LaLiga,2275.0,pedri_SPA
Federico Valverde,MF,Central_Midfielder,27,Uruguay,CONMEBOL,Real Madrid,LaLiga,2112.5,federicovalverde_URU
Alexander Isak,FW,Striker,25,Sweden,UEFA,Newcastle United,PremierLeague,1950.0,alexanderisak_SWE
Cole Palmer,MF,Attacking_Midfielder,23,England,UEFA,Chelsea FC,PremierLeague,1950.0,colepalmer_ENG
Declan Rice,MF,Central_Midfielder,26,England,UEFA,Arsenal FC,PremierLeague,1950.0,declanrice_ENG
Rodri,MF,Defensive_Midfielder,29,Spain,UEFA,Manchester City,PremierLeague,1787.5,rodri_SPA
Alexis Mac Allister,MF,Central_Midfielder,26,Argentina,CONMEBOL,Liverpool FC,PremierLeague,1625.0,alexismacallister_ARG
Julian Alvarez,FW,Striker,25,Argentina,CONMEBOL,Atlético de Madrid,LaLiga,1625.0,julianalvarez_ARG
Phil Foden,FW,Right_Winger,25,England,UEFA,Manchester City,PremierLeague,1625.0,philfoden_ENG
Michael Olise,FW,Right_Winger,23,France,UEFA,Bayern Munich,Bundesliga,1625.0,michaelolise_FRA
Lautaro Martinez,FW,Striker,27,Argentina,CONMEBOL,Inter Milan,Serie_A,1543.8,lautaromartinez_ARG
Khvicha Kvaratskhelia,FW,Left_Winger,24,Georgia,UEFA,Paris Saint-Germain,Ligue1,1462.5,khvichakvaratskhelia_GEO
Desire Doue,FW,Right_Winger,20,France,UEFA,Paris Saint-Germain,Ligue1,1462.5,desiredoue_FRA
Rodrygo,FW,Right_Winger,24,Brazil,CONMEBOL,Real Madrid,LaLiga,1462.5,rodrygo_BRA
Raphinha,FW,Left_Winger,28,Brazil,CONMEBOL,FC Barcelona,LaLiga,1462.5,raphinha_BRA
Moises Caicedo,MF,Defensive_Midfielder,23,Ecuador,CONMEBOL,Chelsea FC,PremierLeague,1462.5,moisescaicedo_ECU
Ousmane Dembele,FW,Right_Winger,28,France,UEFA,Paris Saint-Germain,Ligue1,1462.5,ousmanedembele_FRA
Martin Odegaard,MF,Attacking_Midfielder,26,Norway,UEFA,Arsenal FC,PremierLeague,1381.2,martinodegaard_NOR
Pau Cubarsi,DF,Centre_Back,18,Spain,UEFA,FC Barcelona,LaLiga,1300.0,paucubarsi_SPA
Achraf Hakimi,DF,Right_Back,26,Morocco,CAF,Paris Saint-Germain,Ligue1,1300.0,achrafhakimi_MOR
Alessandro Bastoni,DF,Centre_Back,26,Italy,UEFA,Inter Milan,Serie_A,1300.0,alessandrobastoni_ITA
William Saliba,DF,Centre_Back,24,France,UEFA,Arsenal FC,PremierLeague,1300.0,williamsaliba_FRA
Joao Neves,MF,Defensive_Midfielder,20,Portugal,UEFA,Paris Saint-Germain,Ligue1,1300.0,joaoneves_POR
Vitinha,MF,Central_Midfielder,25,Portugal,UEFA,Paris Saint-Germain,Ligue1,1300.0,vitinha_POR
Dominik Szoboszlai,MF,Attacking_Midfielder,24,Hungary,UEFA,Liverpool FC,PremierLeague,1300.0,dominikszoboszlai_HUN
Bruno Guimaraes,MF,Defensive_Midfielder,27,Brazil,CONMEBOL,Newcastle United,PremierLeague,1300.0,brunoguimaraes_BRA
Josko Gvardiol,DF,Left_Back,23,Croatia,UEFA,Manchester City,PremierLeague,1218.8,joskogvardiol_CRO
Hugo Ekitike,FW,Striker,23,France,UEFA,Liverpool FC,PremierLeague,1218.8,hugoekitike_FRA
Ryan Gravenberch,MF,Defensive_Midfielder,23,Netherlands,UEFA,Liverpool FC,PremierLeague,1218.8,ryangravenberch_NET
Marcus Thuram,FW,Striker,27,France,UEFA,Inter Milan,Serie_A,1218.8,marcusthuram_FRA
Trent Alexander-Arnold,DF,Right_Back,26,England,UEFA,Real Madrid,LaLiga,1218.8,trentalexander-arnold_ENG
Enzo Fernandez,MF,Central_Midfielder,24,Argentina,CONMEBOL,Chelsea FC,PremierLeague,1218.8,enzofernandez_ARG
Harry Kane,FW,Striker,31,England,UEFA,Bayern Munich,Bundesliga,1218.8,harrykane_ENG
Nicolo Barella,MF,Central_Midfielder,28,Italy,UEFA,Inter Milan,Serie_A,1218.8,nicolobarella_ITA
Aurelien Tchouameni,MF,Defensive_Midfielder,25,France,UEFA,Real Madrid,LaLiga,1218.8,aurelientchouameni_FRA
Omar Marmoush,FW,Striker,26,Egypt,CAF,Manchester City,PremierLeague,1218.8,omarmarmoush_EGY
Viktor Gyokeres,FW,Striker,27,Sweden,UEFA,Arsenal FC,PremierLeague,1218.8,viktorgyokeres_SWE
Gabriel Magalhaes,DF,Centre_Back,27,Brazil,CONMEBOL,Arsenal FC,PremierLeague,1218.8,gabrielmagalhaes_BRA
Xavi Simons,MF,Attacking_Midfielder,22,Netherlands,UEFA,RB Leipzig,Bundesliga,1137.5,xavisimons_NET
Nico Williams,FW,Left_Winger,23,Spain,UEFA,Athletic Bilbao,LaLiga,1137.5,nicowilliams_SPA
Bradley Barcola,FW,Left_Winger,22,France,UEFA,Paris Saint-Germain,Ligue1,1137.5,bradleybarcola_FRA
Victor Osimhen,FW,Striker,26,Nigeria,CAF,SSC Napoli,Serie_A,1137.5,victorosimhen_NIG
Nuno Mendes,DF,Left_Back,23,Portugal,UEFA,Paris Saint-Germain,Ligue1,1137.5,nunomendes_POR
Cody Gakpo,FW,Left_Winger,26,Netherlands,UEFA,Liverpool FC,PremierLeague,1137.5,codygakpo_NET
Luis Diaz,FW,Left_Winger,28,Colombia,CONMEBOL,Liverpool FC,PremierLeague,1137.5,luisdiaz_COL
Rafael Leao,FW,Left_Winger,26,Portugal,UEFA,AC Milan,Serie_A,1137.5,rafaelleao_POR
Benjamin Sesko,FW,Striker,22,Slovenia,UEFA,RB Leipzig,Bundesliga,1137.5,benjaminsesko_SLO
Willian Pacho,DF,Centre_Back,23,Ecuador,CONMEBOL,Paris Saint-Germain,Ligue1,1056.2,willianpacho_ECU
Anthony Gordon,FW,Left_Winger,24,England,UEFA,Newcastle United,PremierLeague,1056.2,anthonygordon_ENG
Ruben Dias,DF,Centre_Back,28,Portugal,UEFA,Manchester City,PremierLeague,1056.2,rubendias_POR
Jules Kounde,DF,Right_Back,26,France,UEFA,FC Barcelona,LaLiga,1056.2,juleskounde_FRA
Kai Havertz,FW,Striker,26,Germany,UEFA,Arsenal FC,PremierLeague,1056.2,kaihavertz_GER
