name,field,position,age,nation,confederation,club,league,value_billion_krw
Min-jae Kim,DF,Centre_Back,28,"Korea, South",AFC,Bayern Munich,Bundesliga,650.0
Kang-in Lee,FW,Right_Winger,24,"Korea, South",AFC,Paris Saint-Germain,Ligue1,406.2
Son Heung Min,FW,Left_Winger,33,"Korea, South",AFC,Tottenham Hotspur,PremierLeague,325.0
Hee-chan Hwang,FW,Striker,29,"Korea, South",AFC,Wolverhampton Wanderers,PremierLeague,195.0
In-beom Hwang,MF,Central_Midfielder,28,"Korea, South",AFC,Feyenoord Rotterdam,Eredivisie,162.5
Seol Young Woo,DF,Right_Back,26,"Korea, South",AFC,Red Star Belgrade,Superliga_Srbjie,73.1
Jeong Woo Yeong,MF,Attacking_Midfielder,25,"Korea, South",AFC,1.FC Union Berlin,Bundesliga,65.0
Cho Gue Sung,FW,Striker,27,"Korea, South",AFC,FC Midtjylland,Danish_Superligaen,56.9
Hong Hyeon Seok,MF,Attacking_Midfielder,26,"Korea, South",AFC,1.FSV Mainz 05,Bundesliga,56.9
Min-hyeok Yang,FW,Right_Winger,19,"Korea, South",AFC,Tottenham Hotspur,PremierLeague,56.9
Oh Hyeon Gyu,FW,Striker,24,"Korea, South",AFC,KRC Genk,Jupiler_ProLeague,56.9
Jun-ho Bae,MF,Attacking_Midfielder,21,"Korea, South",AFC,Stoke City,Championship,48.8
Sang-bin Jeong,FW,Striker,23,"Korea, South",AFC,St. Louis CITY SC,MLS,40.6
Hyun-jun Yang,FW,Right_Winger,23,"Korea, South",AFC,Celtic FC,Scottish_Premiership,40.6
Jae-sung Lee,MF,Attacking_Midfielder,32,"Korea, South",AFC,1.FSV Mainz 05,Bundesliga,40.6
Yu-min Cho,DF,Centre_Back,28,"Korea, South",AFC,Sharjah FC,UAE_ProLeague,29.2
Seung-hyun Jung,DF,Centre_Back,31,"Korea, South",AFC,Ulsan HD FC,K_League1,26.0
Seung-ho Paik,MF,Central_Midfielder,28,"Korea, South",AFC,Birmingham City,Championship,24.4
Hyun-ju Lee,MF,Attacking_Midfielder,22,"Korea, South",AFC,FC Arouca,Liga_Portugal,24.4
Dong-gyeong Lee,MF,Attacking_Midfielder,27,"Korea, South",AFC,Gimcheon Sangmu,K_League1,22.8
