name,position,age,nation,club,value,league
Riqui Puig,Central Midfield,25,Spain,Los Angeles Galaxy,€20.00m,MLS
Emmanuel Latte Lath,Centre-Forward,26,Cote d'Ivoire,Atlanta United FC,€18.00m,MLS
Lionel Messi,Right Winger,38,Argentina,Inter Miami CF,€18.00m,MLS
Evander,Attacking Midfield,27,Brazil,FC Cincinnati,€14.00m,MLS
Kevin Denkey,Centre-Forward,24,Togo,FC Cincinnati,€14.00m,MLS
Hirving Lozano,Left Winger,29,Mexico,San Diego FC,€10.00m,MLS
Miguel Almiron,Right Winger,31,Paraguay,Atlanta United FC,€10.00m,MLS
Gabriel Pec,Right Winger,24,Brazil,Los Angeles Galaxy,€10.00m,MLS
Anders Dreyer,Right Winger,27,Denmark,San Diego FC,€9.00m,MLS
Aleksey Miranchuk,Attacking Midfield,29,Russia,Atlanta United FC,€9.00m,MLS
Hugo Cuypers,Centre-Forward,28,Belgium,Chicago Fire FC,€9.00m,MLS
Diego Rossi,Attacking Midfield,27,Uruguay,Columbus Crew,€8.50m,MLS
Diego Luna,Left Midfield,21,United States,Real Salt Lake City,€8.00m,MLS
Joseph Paintsil,Right Winger,27,Ghana,Los Angeles Galaxy,€8.00m,MLS
Denis Bouanga,Left Winger,30,Gabon,Los Angeles FC,€8.00m,MLS
Cristian Arango,Centre-Forward,30,Colombia,San Jose Earthquakes,€7.50m,MLS
Brandon Vazquez,Centre-Forward,26,United States,Austin FC,€7.50m,MLS
Myrto Uzuni,Left Winger,30,Albania,Austin FC,€7.50m,MLS
Liel Abada,Right Winger,23,Israel,Charlotte FC,€7.00m,MLS
Alonso Martinez,Centre-Forward,26,Costa Rica,New York City FC,€6.00m,MLS
Daniel Gazdag,Attacking Midfield,29,Hungary,Columbus Crew,€6.00m,MLS
Martin Ojeda,Left Winger,26,Argentina,Orlando City SC,€6.00m,MLS
David Da Costa,Attacking Midfield,24,Portugal,Portland Timbers,€6.00m,MLS
Obed Vargas,Central Midfield,19,Mexico,Seattle Sounders FC,€6.00m,MLS
Ryan Gauld,Attacking Midfield,29,Scotland,Vancouver Whitecaps FC,€6.00m,MLS
Tomas Aviles,Centre-Back,21,Argentina,Inter Miami CF,€6.00m,MLS
Luciano Acosta,Attacking Midfield,31,Argentina,FC Dallas,€6.00m,MLS
Petar Musa,Centre-Forward,27,Croatia,FC Dallas,€6.00m,MLS
Hany Mukhtar,Attacking Midfield,30,Germany,Nashville SC,€6.00m,MLS
Kelvin Yeboah,Centre-Forward,25,Italy,Minnesota United FC,€6.00m,MLS
Dejan Joveljic,Centre-Forward,25,Serbia,Sporting Kansas City,€5.50m,MLS
Cristian Espinoza,Right Winger,30,Argentina,San Jose Earthquakes,€5.00m,MLS
Marco Pasalic,Right Winger,24,Croatia,Orlando City SC,€5.00m,MLS
Quinn Sullivan,Central Midfield,21,United States,Philadelphia Union,€5.00m,MLS
Tai Baribo,Centre-Forward,27,Israel,Philadelphia Union,€5.00m,MLS
Kai Wagner,Left-Back,28,Germany,Philadelphia Union,€5.00m,MLS
Antony,Left Winger,23,Brazil,Portland Timbers,€5.00m,MLS
Wilfried Zaha,Left Winger,32,Cote d'Ivoire,Charlotte FC,€5.00m,MLS
Osman Bukari,Right Winger,26,Ghana,Austin FC,€5.00m,MLS
Benja Cremaschi,Central Midfield,20,United States,Inter Miami CF,€5.00m,MLS
Federico Redondo,Defensive Midfield,22,Argentina,Inter Miami CF,€5.00m,MLS
Brian White,Centre-Forward,29,United States,Vancouver Whitecaps FC,€5.00m,MLS
Brian Gutierrez,Attacking Midfield,22,United States,Chicago Fire FC,€5.00m,MLS
Djordje Mihailovic,Attacking Midfield,26,United States,Colorado Rapids,€5.00m,MLS
Sam Surridge,Centre-Forward,26,England,Nashville SC,€5.00m,MLS
Rafael Navarro,Centre-Forward,25,Brazil,Colorado Rapids,€5.00m,MLS
Tani Oluwaseyi,Centre-Forward,25,Canada,Minnesota United FC,€5.00m,MLS
Ezequiel Ponce,Centre-Forward,28,Argentina,Houston Dynamo FC,€5.00m,MLS
Jack McGlynn,Central Midfield,22,United States,Houston Dynamo FC,€5.00m,MLS
Luca Langoni,Right Winger,23,Argentina,New England Revolution,€4.50m,MLS
Marcel Hartel,Central Midfield,29,Germany,St. Louis CITY SC,€4.50m,MLS
Pep Biel,Attacking Midfield,28,Spain,Charlotte FC,€4.50m,MLS
Baltasar Rodriguez,Attacking Midfield,22,Argentina,Inter Miami CF,€4.50m,MLS
Luca Orellano,Right Winger,25,Argentina,FC Cincinnati,€4.50m,MLS
Amine Bassi,Attacking Midfield,27,Morocco,Houston Dynamo FC,€4.50m,MLS
Onni Valakari,Attacking Midfield,25,Finland,San Diego FC,€4.00m,MLS
Nicolas Fernandez Mercau,Attacking Midfield,25,Argentina,New York City FC,€4.00m,MLS
Agustin Ojeda,Left Winger,21,Argentina,New York City FC,€4.00m,MLS
Julian Fernandez,Right Winger,21,Argentina,New York City FC,€4.00m,MLS
Saba Lobjanidze,Left Winger,30,Georgia,Atlanta United FC,€4.00m,MLS
Pedro de la Vega,Right Winger,24,Argentina,Seattle Sounders FC,€4.00m,MLS
Alex Roldan,Right-Back,28,El Salvador,Seattle Sounders FC,€4.00m,MLS
Bartosz Slisz,Defensive Midfield,26,Poland,Atlanta United FC,€4.00m,MLS
Enea Mihaj,Centre-Back,27,Albania,Atlanta United FC,€4.00m,MLS
