name,position,age,nation,club,value,confederation,league
Kaoru Mitoma,Left Winger,28,Japan,Brighton & Hove Albion,€40.00m,UEFA,
Ryoya Yamashita,Right Winger,27,Japan,Gamba Osaka,€850k,UEFA,
Motohiko Nakajima,Second Striker,26,Japan,Cerezo Osaka,€850k,UEFA,
Hirokazu Ishihara,Right-Back,26,Japan,Urawa Red Diamonds,€850k,UEFA,
Katsuya Nagato,Left-Back,30,Japan,Vissel Kobe,€850k,UEFA,
Takuya Ogiwara,Left-Back,25,Japan,Urawa Red Diamonds,€850k,UEFA,
Bum-keun Song,Goalkeeper,27,"Korea, South",Jeonbuk Hyundai Motors,€850k,UEFA,
Chang-rae Ha,Centre-Back,30,"Korea, South",Daejeon Hana Citizen,€850k,UEFA,
Shenglong Jiang,Centre-Back,24,China,Shanghai Shenhua,€850k,UEFA,
Meshaal Barsham,Goalkeeper,27,Qatar,Al-Sadd SC,€850k,UEFA,
Shunsuke Mito,Right Winger,22,Japan,Sparta Rotterdam,€850k,UEFA,
Ju-sung Kim,Centre-Back,24,"Korea, South",FC Seoul,€850k,UEFA,
Daiki Matsuoka,Central Midfield,24,Japan,Avispa Fukuoka,€850k,UEFA,
Yuta Higuchi,Central Midfield,28,Japan,Kashima Antlers,€850k,UEFA,
So Kawahara,Defensive Midfield,27,Japan,Kawasaki Frontale,€850k,UEFA,
Nicolas Milanovic,Right Winger,23,Australia,Aberdeen FC,€850k,UEFA,
Tsukasa Morishima,Attacking Midfield,28,Japan,Nagoya Grampus,€900k,UEFA,
Mohammadmehdi Mohebi,Right Winger,25,Iran,Sepahan FC,€850k,UEFA,
Abdulmalik Al-Oyayari,Right-Back,21,Saudi Arabia,NEOM SC,€850k,UEFA,
Sota Miura,Left-Back,24,Japan,Kawasaki Frontale,€850k,UEFA,
Kento Shiogai,Centre-Forward,20,Japan,NEC Nijmegen,€850k,UEFA,
Yoshinori Muto,Centre-Forward,33,Japan,Vissel Kobe,€900k,UEFA,
Chanathip Songkrasin,Attacking Midfield,31,Thailand,BG Pathum United,€900k,UEFA,
Jamshid Iskanderov,Attacking Midfield,31,Uzbekistan,Neftchi Fergana,€900k,UEFA,
Ali Lajami,Centre-Back,29,Saudi Arabia,Al-Hilal SFC,€900k,UEFA,
Ali Salmin,Defensive Midfield,30,United Arab Emirates,Kalba FC,€900k,UEFA,
Koya Kitagawa,Centre-Forward,29,Japan,Shimizu S-Pulse,€900k,UEFA,
Amjad Attwan,Central Midfield,28,Iraq,Zakho SC,€900k,UEFA,
Mohamed Kanno,Central Midfield,30,Saudi Arabia,Al-Hilal SFC,€900k,UEFA,
Hiroyuki Mae,Defensive Midfield,29,Japan,Machida Zelvia,€900k,UEFA,
Ryuya Nishio,Centre-Back,24,Japan,Cerezo Osaka,€850k,UEFA,
Bobur Abdikholikov,Centre-Forward,28,Uzbekistan,Pakhtakor Tashkent,€850k,UEFA,
Jin-gyu Kim,Central Midfield,28,"Korea, South",Jeonbuk Hyundai Motors,€850k,UEFA,
Shihao Wei,Left Winger,30,China,Chengdu Rongcheng,€850k,UEFA,
Jin-seob Park,Defensive Midfield,29,"Korea, South",Jeonbuk Hyundai Motors,€800k,UEFA,
Aref Haji Eydi,Defensive Midfield,26,Iran,Sepahan FC,€800k,UEFA,
Yuki Yamamoto,Central Midfield,27,Japan,Kawasaki Frontale,€800k,UEFA,
Tojiro Kubo,Right Midfield,26,Japan,Kashiwa Reysol,€800k,UEFA,
Kennedy Egbus Mikuni,Centre-Back,25,Japan,Nagoya Grampus,€800k,UEFA,
Tomoya Ando,Centre-Back,26,Japan,Avispa Fukuoka,€800k,UEFA,
Taishi Brandon Nozawa,Goalkeeper,22,Japan,Royal Antwerp FC,€800k,UEFA,
Hiroki Akiyama,Defensive Midfield,24,Japan,SV Darmstadt 98,€800k,UEFA,
Oybek Bozorov,Left Winger,27,Uzbekistan,Nasaf Qarshi,€800k,UEFA,
Daihachi Okamura,Centre-Back,28,Japan,Machida Zelvia,€800k,UEFA,
Kazuya Konno,Right Winger,28,Japan,Avispa Fukuoka,€800k,UEFA,
Issam Faiz,Attacking Midfield,25,United Arab Emirates,Ajman Club,€800k,UEFA,
Shuto Abe,Central Midfield,27,Japan,Gamba Osaka,€800k,UEFA,
Sam Silvera,Left Winger,24,Australia,Middlesbrough FC,€800k,UEFA,
Shin Yamada,Centre-Forward,25,Japan,Celtic FC,€800k,UEFA,
Ibrokhimkhalil Yuldoshev,Left-Back,24,Uzbekistan,Neftchi Fergana,€800k,UEFA,
Bruno,Centre-Forward,24,United Arab Emirates,Al-Jazira Club,€800k,UEFA,
Danilo Al-Saed,Left Winger,26,Iraq,BK Häcken,€800k,UEFA,
Young-joon Lee,Centre-Forward,22,"Korea, South",Grasshopper Club Zurich,€800k,UEFA,
Ziyad Al-Johani,Defensive Midfield,23,Saudi Arabia,Al-Ahli SFC,€800k,UEFA,
Kota Tawaratsumida,Left Midfield,21,Japan,FC Tokyo,€800k,UEFA,
Kanta Doi,Centre-Back,20,Japan,FC Tokyo,€800k,UEFA,
Yosuke Furukawa,Left Winger,22,Japan,SV Darmstadt 98,€800k,UEFA,
Hetao Hu,Left-Back,21,China,Chengdu Rongcheng,€800k,UEFA,
Do-young Yoon,Right Winger,18,"Korea, South",Excelsior Rotterdam,€800k,UEFA,
Talal Haji,Centre-Forward,17,Saudi Arabia,Al-Ittihad Club,€800k,UEFA,
Jason Cummings,Centre-Forward,29,Australia,Mohun Bagan Super Giant,€850k,UEFA,
Yosuke Ideguchi,Central Midfield,28,Japan,Vissel Kobe,€900k,UEFA,
Kota Watanabe,Central Midfield,26,Japan,Yokohama F. Marinos,€900k,UEFA,
Ho-yeon Jung,Central Midfield,24,"Korea, South",Minnesota United FC,€1.00m,UEFA,
Takahiro Ko,Defensive Midfield,27,Japan,FC Tokyo,€1.00m,UEFA,
Koki Anzai,Left-Back,30,Japan,Kashima Antlers,€1.00m,UEFA,
Shinnosuke Hatanaka,Centre-Back,29,Japan,Cerezo Osaka,€1.00m,UEFA,
Dion Cools,Right-Back,29,Malaysia,Cerezo Osaka,€1.00m,UEFA,
Omid Noorafkan,Central Midfield,28,Iran,Sepahan FC,€1.00m,UEFA,
Mehrdad Mohammadi,Right Winger,31,Iran,Tractor FC,€1.00m,UEFA,
Takuma Nishimura,Second Striker,28,Japan,Machida Zelvia,€1.00m,UEFA,
Khurshid Giyosov,Left Winger,30,Uzbekistan,FC OKMK Olmaliq,€1.00m,UEFA,
