name,position,age,nation,club,value,confederation,league
Kaoru Mitoma,Left Winger,28.0,Japan,Brighton & Hove Albion,€40.00m,UEFA,
So Kawahara,Defensive Midfield,27.0,Japan,Kawasaki Frontale,€850k,UEFA,
Ryuya Nishio,Centre-Back,24.0,Japan,Cerezo Osaka,€850k,UEFA,
Motohiko Nakajima,Second Striker,26.0,Japan,Cerezo Osaka,€850k,UEFA,
Hirokazu Ishihara,Right-Back,26.0,Japan,Urawa Red Diamonds,€850k,UEFA,
Katsuya Nagato,Left-Back,30.0,Japan,Vissel Kobe,€850k,UEFA,
Takuya Ogiwara,Left-Back,25.0,Japan,Urawa Red Diamonds,€850k,UEFA,
Bum-keun Song,Goalkeeper,27.0,"Korea, South",Jeonbuk Hyundai Motors,€850k,UEFA,
Chang-rae Ha,Centre-Back,30.0,"Korea, South",Daejeon Hana Citizen,€850k,UEFA,
Shenglong Jiang,Centre-Back,24.0,China,Shanghai Shenhua,€850k,UEFA,
Meshaal Barsham,Goalkeeper,27.0,Qatar,Al-Sadd SC,€850k,UEFA,
Shunsuke Mito,Right Winger,22.0,Japan,Sparta Rotterdam,€850k,UEFA,
Ju-sung Kim,Centre-Back,24.0,"Korea, South",FC Seoul,€850k,UEFA,
Daiki Matsuoka,Central Midfield,24.0,Japan,Avispa Fukuoka,€850k,UEFA,
Yuta Higuchi,Central Midfield,28.0,Japan,Kashima Antlers,€850k,UEFA,
Ryoya Yamashita,Right Winger,27.0,Japan,Gamba Osaka,€850k,UEFA,
Yosuke Ideguchi,Central Midfield,28.0,Japan,Vissel Kobe,€900k,UEFA,
Nicolas Milanovic,Right Winger,23.0,Australia,Aberdeen FC,€850k,UEFA,
Mohammadmehdi Mohebi,Right Winger,25.0,Iran,Sepahan FC,€850k,UEFA,
Abdulmalik Al-Oyayari,Right-Back,21.0,Saudi Arabia,NEOM SC,€850k,UEFA,
Sota Miura,Left-Back,24.0,Japan,Kawasaki Frontale,€850k,UEFA,
Kento Shiogai,Centre-Forward,20.0,Japan,NEC Nijmegen,€850k,UEFA,
Yoshinori Muto,Centre-Forward,33.0,Japan,Vissel Kobe,€900k,UEFA,
Chanathip Songkrasin,Attacking Midfield,31.0,Thailand,BG Pathum United,€900k,UEFA,
Jamshid Iskanderov,Attacking Midfield,31.0,Uzbekistan,Neftchi Fergana,€900k,UEFA,
Ali Lajami,Centre-Back,29.0,Saudi Arabia,Al-Hilal SFC,€900k,UEFA,
Ali Salmin,Defensive Midfield,30.0,United Arab Emirates,Kalba FC,€900k,UEFA,
Koya Kitagawa,Centre-Forward,28.0,Japan,Shimizu S-Pulse,€900k,UEFA,
Amjad Attwan,Central Midfield,28.0,Iraq,Zakho SC,€900k,UEFA,
Mohamed Kanno,Central Midfield,30.0,Saudi Arabia,Al-Hilal SFC,€900k,UEFA,
Bobur Abdikholikov,Centre-Forward,28.0,Uzbekistan,Pakhtakor Tashkent,€850k,UEFA,
Jin-gyu Kim,Central Midfield,28.0,"Korea, South",Jeonbuk Hyundai Motors,€850k,UEFA,
Shihao Wei,Left Winger,30.0,China,Chengdu Rongcheng,€850k,UEFA,
Jason Cummings,Centre-Forward,29.0,Australia,Mohun Bagan Super Giant,€850k,UEFA,
Rodrigo Holgado,Centre-Forward,30.0,Malaysia,CD América de Cali,€800k,UEFA,
Jin-seob Park,Defensive Midfield,29.0,"Korea, South",Jeonbuk Hyundai Motors,€800k,UEFA,
Aref Haji Eydi,Defensive Midfield,26.0,Iran,Sepahan FC,€800k,UEFA,
Yuki Yamamoto,Central Midfield,27.0,Japan,Kawasaki Frontale,€800k,UEFA,
Tojiro Kubo,Right Midfield,26.0,Japan,Kashiwa Reysol,€800k,UEFA,
Kennedy Egbus Mikuni,Centre-Back,25.0,Japan,Nagoya Grampus,€800k,UEFA,
Tomoya Ando,Centre-Back,26.0,Japan,Avispa Fukuoka,€800k,UEFA,
Taishi Brandon Nozawa,Goalkeeper,22.0,Japan,Royal Antwerp FC,€800k,UEFA,
Hiroki Akiyama,Defensive Midfield,24.0,Japan,SV Darmstadt 98,€800k,UEFA,
Oybek Bozorov,Left Winger,27.0,Uzbekistan,Nasaf Qarshi,€800k,UEFA,
Daihachi Okamura,Centre-Back,28.0,Japan,Machida Zelvia,€800k,UEFA,
Kazuya Konno,Right Winger,28.0,Japan,Avispa Fukuoka,€800k,UEFA,
Issam Faiz,Attacking Midfield,25.0,United Arab Emirates,Ajman Club,€800k,UEFA,
Shuto Abe,Central Midfield,27.0,Japan,Gamba Osaka,€800k,UEFA,
Sam Silvera,Left Winger,24.0,Australia,Middlesbrough FC,€800k,UEFA,
Shin Yamada,Centre-Forward,25.0,Japan,Celtic FC,€800k,UEFA,
Ibrokhimkhalil Yuldoshev,Left-Back,24.0,Uzbekistan,Neftchi Fergana,€800k,UEFA,
Bruno,Centre-Forward,24.0,United Arab Emirates,Al-Jazira Club,€800k,UEFA,
Danilo Al-Saed,Left Winger,26.0,Iraq,BK Häcken,€800k,UEFA,
Young-joon Lee,Centre-Forward,22.0,"Korea, South",Grasshopper Club Zurich,€800k,UEFA,
Ziyad Al-Johani,Defensive Midfield,23.0,Saudi Arabia,Al-Ahli SFC,€800k,UEFA,
Kota Tawaratsumida,Left Midfield,21.0,Japan,FC Tokyo,€800k,UEFA,
Kanta Doi,Centre-Back,20.0,Japan,FC Tokyo,€800k,UEFA,
Yosuke Furukawa,Left Winger,22.0,Japan,SV Darmstadt 98,€800k,UEFA,
Hetao Hu,Left-Back,21.0,China,Chengdu Rongcheng,€800k,UEFA,
Do-young Yoon,Right Winger,18.0,"Korea, South",Excelsior Rotterdam,€800k,UEFA,
Talal Haji,Centre-Forward,17.0,Saudi Arabia,Al-Ittihad Club,€800k,UEFA,
Hiroyuki Mae,Defensive Midfield,29.0,Japan,Machida Zelvia,€900k,UEFA,
Tsukasa Morishima,Attacking Midfield,28.0,Japan,Nagoya Grampus,€900k,UEFA,
Ho-yeon Jung,Central Midfield,24.0,"Korea, South",Minnesota United FC,€1.00m,UEFA,
Takahiro Ko,Defensive Midfield,27.0,Japan,FC Tokyo,€1.00m,UEFA,
Koki Anzai,Left-Back,30.0,Japan,Kashima Antlers,€1.00m,UEFA,
Shinnosuke Hatanaka,Centre-Back,29.0,Japan,Cerezo Osaka,€1.00m,UEFA,
Dion Cools,Right-Back,29.0,Malaysia,Cerezo Osaka,€1.00m,UEFA,
Omid Noorafkan,Central Midfield,28.0,Iran,Sepahan FC,€1.00m,UEFA,
Mehrdad Mohammadi,Right Winger,31.0,Iran,Without Club,€1.00m,UEFA,
