name,position,age,nation,club,value
Diogo Costa,Goalkeeper,25,Portugal,FC Porto,€40.00m
Gianluigi Donnarumma,Goalkeeper,26,Italy,Paris Saint-Germain,€40.00m
David Raya,Goalkeeper,29,Spain,Arsenal FC,€40.00m
Gregor Kobel,Goalkeeper,27,Switzerland,Borussia Dortmund,€40.00m
Guglielmo Vicario,Goalkeeper,28,Italy,Tottenham Hotspur,€32.00m
Bart Verbruggen,Goalkeeper,22,Netherlands,Brighton & Hove Albion,€30.00m
Giorgi Mamardashvili,Goalkeeper,24,Georgia,Liverpool FC,€30.00m
Lucas Chevalier,Goalkeeper,23,France,LOSC Lille,€30.00m
Anatoliy Trubin,Goalkeeper,23,Ukraine,SL Benfica,€28.00m
Unai Simón,Goalkeeper,28,Spain,Athletic Bilbao,€28.00m
Joan García,Goalkeeper,24,Spain,FC Barcelona,€25.00m
Marco Carnesecchi,Goalkeeper,25,Italy,Atalanta BC,€25.00m
Mile Svilar,Goalkeeper,25,Serbia,AS Roma,€25.00m
André Onana,Goalkeeper,29,Cameroon,Manchester United,€25.00m
Mike Maignan,Goalkeeper,30,France,AC Milan,€25.00m
James Trafford,Goalkeeper,22,England,Burnley FC,€22.00m
Guillaume Restes,Goalkeeper,20,France,FC Toulouse,€20.00m
Marcin Bulka,Goalkeeper,25,Poland,NEOM SC,€20.00m
Djordje Petrovic,Goalkeeper,25,Serbia,AFC Bournemouth,€20.00m
Zion Suzuki,Goalkeeper,22,Japan,Parma Calcio 1913,€20.00m
Robert Sánchez,Goalkeeper,27,Spain,Chelsea FC,€20.00m
Caoimhín Kelleher,Goalkeeper,26,Ireland,Brentford FC,€20.00m
Matvey Safonov,Goalkeeper,26,Russia,Paris Saint-Germain,€20.00m
Dean Henderson,Goalkeeper,28,England,Crystal Palace,€20.00m
Ederson,Goalkeeper,31,Brazil,Manchester City,€20.00m
Jan Oblak,Goalkeeper,32,Slovenia,Atlético de Madrid,€20.00m
Emiliano Martínez,Goalkeeper,32,Argentina,Aston Villa,€20.00m
Thibaut Courtois,Goalkeeper,33,Belgium,Real Madrid,€20.00m
Alisson,Goalkeeper,32,Brazil,Liverpool FC,€20.00m
Filip Jørgensen,Goalkeeper,23,Denmark,Chelsea FC,€18.00m
Noah Atubolu,Goalkeeper,23,Germany,SC Freiburg,€18.00m
