name,position,age,nation,club,value
Jude Bellingham,Attacking Midfield,22,England,Real Madrid,€180.00m
Pedri,Central Midfield,22,Spain,FC Barcelona,€140.00m
Florian Wirtz,Attacking Midfield,22,Germany,Liverpool FC,€140.00m
Jamal Musiala,Attacking Midfield,22,Germany,Bayern Munich,€140.00m
Federico Valverde,Central Midfield,27,Uruguay,Real Madrid,€130.00m
Cole Palmer,Attacking Midfield,23,England,Chelsea FC,€120.00m
Declan Rice,Central Midfield,26,England,Arsenal FC,€120.00m
Rodri,Defensive Midfield,29,Spain,Manchester City,€110.00m
Alexis Mac Allister,Central Midfield,26,Argentina,Liverpool FC,€100.00m
Moisés Caicedo,Defensive Midfield,23,Ecuador,Chelsea FC,€90.00m
Martin Ødegaard,Attacking Midfield,26,Norway,Arsenal FC,€85.00m
João Neves,Defensive Midfield,20,Portugal,Paris Saint-Germain,€80.00m
Bruno Guimarães,Defensive Midfield,27,Brazil,Newcastle United,€80.00m
Vitinha,Central Midfield,25,Portugal,Paris Saint-Germain,€80.00m
Dominik Szoboszlai,Attacking Midfield,24,Hungary,Liverpool FC,€80.00m
Enzo Fernández,Central Midfield,24,Argentina,Chelsea FC,€75.00m
Ryan Gravenberch,Defensive Midfield,23,Netherlands,Liverpool FC,€75.00m
Aurélien Tchouaméni,Defensive Midfield,25,France,Real Madrid,€75.00m
Nicolò Barella,Central Midfield,28,Italy,Inter Milan,€75.00m
Xavi Simons,Attacking Midfield,22,Netherlands,RB Leipzig,€70.00m
Gavi,Central Midfield,20,Spain,FC Barcelona,€60.00m
Eduardo Camavinga,Central Midfield,22,France,Real Madrid,€60.00m
Oihan Sancet,Attacking Midfield,25,Spain,Athletic Bilbao,€60.00m
Tijjani Reijnders,Central Midfield,26,Netherlands,Manchester City,€60.00m
Martín Zubimendi,Defensive Midfield,26,Spain,Arsenal FC,€60.00m
Sandro Tonali,Central Midfield,25,Italy,Newcastle United,€60.00m
Dani Olmo,Attacking Midfield,27,Spain,FC Barcelona,€60.00m
Warren Zaïre-Emery,Central Midfield,19,France,Paris Saint-Germain,€55.00m
Aleksandar Pavlovic,Defensive Midfield,21,Germany,Bayern Munich,€55.00m
Pablo Barrios,Central Midfield,22,Spain,Atlético de Madrid,€55.00m
Morgan Rogers,Attacking Midfield,22,England,Aston Villa,€55.00m
Eberechi Eze,Attacking Midfield,27,England,Crystal Palace,€55.00m
Kobbie Mainoo,Central Midfield,20,England,Manchester United,€50.00m
Fermín López,Attacking Midfield,22,Spain,FC Barcelona,€50.00m
Éderson,Central Midfield,26,Brazil,Atalanta BC,€50.00m
Amadou Onana,Defensive Midfield,23,Belgium,Aston Villa,€50.00m
Morten Hjulmand,Defensive Midfield,26,Denmark,Sporting CP,€50.00m
Dejan Kulusevski,Attacking Midfield,25,Sweden,Tottenham Hotspur,€50.00m
Morgan Gibbs-White,Attacking Midfield,25,England,Nottingham Forest,€50.00m
Scott McTominay,Central Midfield,28,Scotland,SSC Napoli,€50.00m
Bruno Fernandes,Attacking Midfield,30,Portugal,Manchester United,€50.00m
Alejandro Garnacho,Attacking Midfield,21,Argentina,Manchester United,€45.00m
Adam Wharton,Defensive Midfield,21,England,Crystal Palace,€45.00m
Manuel Ugarte,Defensive Midfield,24,Uruguay,Manchester United,€45.00m
Angelo Stiller,Defensive Midfield,24,Germany,VfB Stuttgart,€45.00m
Curtis Jones,Central Midfield,24,England,Liverpool FC,€45.00m
Frenkie de Jong,Central Midfield,28,Netherlands,FC Barcelona,€45.00m
Joshua Kimmich,Defensive Midfield,30,Germany,Bayern Munich,€45.00m
James Maddison,Attacking Midfield,28,England,Tottenham Hotspur,€42.00m
Carlos Baleba,Defensive Midfield,21,Cameroon,Brighton & Hove Albion,€40.00m
Rodrigo Mora,Attacking Midfield,18,Portugal,FC Porto,€40.00m
Hugo Larsson,Central Midfield,21,Sweden,Eintracht Frankfurt,€40.00m
João Gomes,Central Midfield,24,Brazil,Wolverhampton Wanderers,€40.00m
Roméo Lavia,Defensive Midfield,21,Belgium,Chelsea FC,€40.00m
Manu Koné,Central Midfield,24,France,AS Roma,€40.00m
Conor Gallagher,Central Midfield,25,England,Atlético de Madrid,€40.00m
Nico González,Central Midfield,23,Spain,Manchester City,€40.00m
Khéphren Thuram,Central Midfield,24,France,Juventus FC,€40.00m
Exequiel Palacios,Central Midfield,26,Argentina,Bayer 04 Leverkusen,€40.00m
Boubacar Kamara,Defensive Midfield,25,France,Aston Villa,€40.00m
Fabián Ruiz,Central Midfield,29,Spain,Paris Saint-Germain,€40.00m
Archie Gray,Defensive Midfield,19,England,Tottenham Hotspur,€38.00m
Lucas Bergvall,Central Midfield,19,Sweden,Tottenham Hotspur,€38.00m
Youri Tielemans,Central Midfield,28,Belgium,Aston Villa,€38.00m
Bernardo Silva,Attacking Midfield,30,Portugal,Manchester City,€38.00m
Nico Paz,Attacking Midfield,20,Argentina,Como 1907,€35.00m
Andrey Santos,Central Midfield,21,Brazil,Chelsea FC,€35.00m
Matheus Nunes,Central Midfield,26,Portugal,Manchester City,€35.00m
Enzo Millot,Attacking Midfield,23,France,VfB Stuttgart,€35.00m
Charles De Ketelaere,Attacking Midfield,24,Belgium,Atalanta BC,€35.00m
Davide Frattesi,Central Midfield,25,Italy,Inter Milan,€35.00m
Teun Koopmeiners,Attacking Midfield,27,Netherlands,Juventus FC,€35.00m
Mikel Merino,Central Midfield,29,Spain,Arsenal FC,€35.00m
Joelinton,Central Midfield,28,Brazil,Newcastle United,€35.00m
Justin Kluivert,Attacking Midfield,26,Netherlands,AFC Bournemouth,€35.00m
Alan Varela,Defensive Midfield,24,Argentina,FC Porto,€32.00m
Georgiy Sudakov,Attacking Midfield,22,Ukraine,Shakhtar Donetsk,€32.00m
Ardon Jashari,Defensive Midfield,22,Switzerland,Club Brugge KV,€32.00m
Pape Matar Sarr,Central Midfield,22,Senegal,Tottenham Hotspur,€32.00m
Elliot Anderson,Central Midfield,22,England,Nottingham Forest,€32.00m
Jacob Ramsey,Left Midfield,24,England,Aston Villa,€32.00m
Malik Tillman,Attacking Midfield,23,United States,Bayer 04 Leverkusen,€32.00m
Mattéo Guendouzi,Central Midfield,26,France,SS Lazio,€32.00m
Mikel Jauregizar,Central Midfield,21,Spain,Athletic Bilbao,€30.00m
Tom Bischof,Central Midfield,20,Germany,Bayern Munich,€30.00m
Marc Casadó,Defensive Midfield,21,Spain,FC Barcelona,€30.00m
Youssouf Fofana,Defensive Midfield,26,France,AC Milan,€30.00m
Harvey Elliott,Attacking Midfield,22,England,Liverpool FC,€30.00m
Nicolò Rovella,Defensive Midfield,23,Italy,SS Lazio,€30.00m
Samuele Ricci,Defensive Midfield,23,Italy,AC Milan,€30.00m
Orkun Kökçü,Central Midfield,24,Türkiye,Besiktas JK,€30.00m
Douglas Luiz,Central Midfield,27,Brazil,Juventus FC,€30.00m
Quinten Timber,Central Midfield,24,Netherlands,Feyenoord Rotterdam,€30.00m
Emile Smith Rowe,Attacking Midfield,24,England,Fulham FC,€30.00m
Rodrigo Bentancur,Defensive Midfield,28,Uruguay,Tottenham Hotspur,€30.00m
Denis Zakaria,Defensive Midfield,28,Switzerland,AS Monaco,€30.00m
Manuel Locatelli,Defensive Midfield,27,Italy,Juventus FC,€30.00m
João Palhinha,Defensive Midfield,30,Portugal,Bayern Munich,€30.00m
Hakan Çalhanoğlu,Defensive Midfield,31,Türkiye,Inter Milan,€30.00m
Ayyoub Bouaddi,Central Midfield,17,France,LOSC Lille,€28.00m
Danilo,Defensive Midfield,24,Brazil,Botafogo de Futebol e Regatas,€28.00m
André,Defensive Midfield,24,Brazil,Wolverhampton Wanderers,€28.00m
Bilal El Khannouss,Attacking Midfield,21,Morocco,Leicester City,€28.00m
Mikkel Damsgaard,Attacking Midfield,25,Denmark,Brentford FC,€28.00m
Kenneth Taylor,Central Midfield,23,Netherlands,Ajax Amsterdam,€28.00m
Lucas Paquetá,Attacking Midfield,27,Brazil,West Ham United,€28.00m
Lewis Ferguson,Central Midfield,25,Scotland,Bologna FC 1909,€28.00m
Felix Nmecha,Central Midfield,24,Germany,Borussia Dortmund,€28.00m
Mason Mount,Attacking Midfield,26,England,Manchester United,€28.00m
Ismael Saibari,Central Midfield,24,Morocco,PSV Eindhoven,€27.00m
Frank Anguissa,Central Midfield,29,Cameroon,SSC Napoli,€27.00m
Javi Guerra,Central Midfield,22,Spain,Valencia CF,€25.00m
Luis Henrique,Right Midfield,23,Brazil,Inter Milan,€25.00m
Johnny Cardoso,Central Midfield,23,United States,Atlético de Madrid,€25.00m
Thiago Almada,Attacking Midfield,24,Argentina,Atlético de Madrid,€25.00m
Cheick Doucouré,Defensive Midfield,25,Mali,Crystal Palace,€25.00m
Eduard Spertsyan,Attacking Midfield,25,Armenia,FC Krasnodar,€25.00m
Mats Wieffer,Defensive Midfield,25,Netherlands,Brighton & Hove Albion,€25.00m
Yves Bissouma,Defensive Midfield,28,Mali,Tottenham Hotspur,€25.00m
Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,€25.00m
Edson Álvarez,Defensive Midfield,27,Mexico,West Ham United,€25.00m
Gerson,Central Midfield,28,Brazil,Zenit St. Petersburg,€25.00m
Sander Berge,Defensive Midfield,27,Norway,Fulham FC,€25.00m
Marcos Llorente,Right Midfield,30,Spain,Atlético de Madrid,€25.00m
Rodrigo De Paul,Central Midfield,31,Argentina,Atlético de Madrid,€25.00m
Rúben Neves,Defensive Midfield,28,Portugal,Al-Hilal SFC,€25.00m
Stanislav Lobotka,Defensive Midfield,30,Slovakia,SSC Napoli,€25.00m
Julian Brandt,Attacking Midfield,29,Germany,Borussia Dortmund,€25.00m
Adrien Rabiot,Central Midfield,30,France,Olympique Marseille,€25.00m
Jack Hinshelwood,Central Midfield,20,England,Brighton & Hove Albion,€24.00m
Paul Nebel,Attacking Midfield,22,Germany,1.FSV Mainz 05,€24.00m
Ibrahim Sangaré,Defensive Midfield,27,Cote d'Ivoire,Nottingham Forest,€24.00m
Raoul Bellanova,Right Midfield,25,Italy,Atalanta BC,€24.00m
Arthur Vermeeren,Defensive Midfield,20,Belgium,RB Leipzig,€22.00m
Lewis Miley,Central Midfield,19,England,Newcastle United,€22.00m
Lamine Camara,Central Midfield,21,Senegal,AS Monaco,€22.00m
Jobe Bellingham,Central Midfield,19,England,Borussia Dortmund,€22.00m
Omari Hutchinson,Attacking Midfield,21,England,Ipswich Town,€22.00m
Yasin Ayari,Central Midfield,21,Sweden,Brighton & Hove Albion,€22.00m
Julio Enciso,Attacking Midfield,21,Paraguay,Brighton & Hove Albion,€22.00m
Martin Baturina,Attacking Midfield,22,Croatia,Como 1907,€22.00m
Gabriel Sara,Central Midfield,26,Brazil,Galatasaray,€22.00m
Fábio Vieira,Attacking Midfield,25,Portugal,Arsenal FC,€22.00m
Matt O'Riley,Central Midfield,24,Denmark,Brighton & Hove Albion,€22.00m
Florentino,Defensive Midfield,25,Portugal,SL Benfica,€22.00m
Jerdy Schouten,Defensive Midfield,28,Netherlands,PSV Eindhoven,€22.00m
Joe Willock,Central Midfield,25,England,Newcastle United,€22.00m
Weston McKennie,Central Midfield,26,United States,Juventus FC,€22.00m
Malcom,Attacking Midfield,28,Brazil,Al-Hilal SFC,€22.00m
Brais Méndez,Attacking Midfield,28,Spain,Real Sociedad,€22.00m
Leon Goretzka,Central Midfield,30,Germany,Bayern Munich,€22.00m
Konstantinos Karetsas,Attacking Midfield,17,Greece,KRC Genk,€20.00m
Facundo Buonanotte,Attacking Midfield,20,Argentina,Brighton & Hove Albion,€20.00m
Chris Rigg,Attacking Midfield,18,England,Sunderland AFC,€20.00m
Oscar Gloukh,Attacking Midfield,21,Israel,Red Bull Salzburg,€20.00m
Habib Diarra,Central Midfield,21,Senegal,Sunderland AFC,€20.00m
Alex Scott,Central Midfield,21,England,AFC Bournemouth,€20.00m
Raphael Onyedika,Defensive Midfield,24,Nigeria,Club Brugge KV,€20.00m
Dário Essugo,Defensive Midfield,20,Portugal,Chelsea FC,€20.00m
Kaishu Sano,Defensive Midfield,24,Japan,1.FSV Mainz 05,€20.00m
James McAtee,Attacking Midfield,22,England,Manchester City,€20.00m
Yunus Musah,Central Midfield,22,United States,AC Milan,€20.00m
Morten Frendrup,Central Midfield,24,Denmark,Genoa CFC,€20.00m
Kiernan Dewsbury-Hall,Central Midfield,26,England,Chelsea FC,€20.00m
Billy Gilmour,Defensive Midfield,24,Scotland,SSC Napoli,€20.00m
Angel Gomes,Attacking Midfield,24,England,Olympique Marseille,€20.00m
Hamed Junior Traoré,Attacking Midfield,25,Cote d'Ivoire,AFC Bournemouth,€20.00m
Sean Longstaff,Central Midfield,27,England,Leeds United,€20.00m
Riqui Puig,Central Midfield,25,Spain,Los Angeles Galaxy,€20.00m
Marco Asensio,Attacking Midfield,29,Spain,Paris Saint-Germain,€20.00m
Vitaly Janelt,Defensive Midfield,27,Germany,Brentford FC,€20.00m
Aleksandr Golovin,Attacking Midfield,29,Russia,AS Monaco,€20.00m
Aleix García,Central Midfield,28,Spain,Bayer 04 Leverkusen,€20.00m
Nadiem Amiri,Central Midfield,28,Germany,1.FSV Mainz 05,€20.00m
Fredrik Aursnes,Central Midfield,29,Norway,SL Benfica,€20.00m
Pierre-Emile Højbjerg,Defensive Midfield,29,Denmark,Olympique Marseille,€20.00m
Kevin De Bruyne,Attacking Midfield,34,Belgium,SSC Napoli,€20.00m
Mateo Kovacic,Central Midfield,31,Croatia,Manchester City,€20.00m
El Hadji Malick Diouf,Left Midfield,20,Senegal,West Ham United,€18.00m
Claudio Echeverri,Attacking Midfield,19,Argentina,Manchester City,€18.00m
Paul Wanner,Attacking Midfield,19,Germany,Bayern Munich,€18.00m
Can Uzun,Attacking Midfield,19,Türkiye,Eintracht Frankfurt,€18.00m
Nico O'Reilly,Attacking Midfield,20,England,Manchester City,€18.00m
Lesley Ugochukwu,Defensive Midfield,21,France,Chelsea FC,€18.00m
Gabri Veiga,Attacking Midfield,23,Spain,FC Porto,€18.00m
Antoni Milambo,Attacking Midfield,20,Netherlands,Brentford FC,€18.00m
Carney Chukwuemeka,Central Midfield,21,England,Chelsea FC,€18.00m
Diego Moreira,Left Midfield,20,Belgium,RC Strasbourg Alsace,€18.00m
Hákon Arnar Haraldsson,Attacking Midfield,22,Iceland,LOSC Lille,€18.00m
Enzo Le Fée,Central Midfield,25,France,Sunderland AFC,€18.00m
Lucas Beltrán,Attacking Midfield,24,Argentina,ACF Fiorentina,€18.00m
Beñat Prados,Central Midfield,24,Spain,Athletic Bilbao,€18.00m
Rodrigo Zalazar,Central Midfield,25,Uruguay,SC Braga,€18.00m
Sebastian Nanasi,Left Midfield,23,Sweden,RC Strasbourg Alsace,€18.00m
James Garner,Defensive Midfield,24,England,Everton FC,€18.00m
Wendel,Central Midfield,27,Brazil,Zenit St. Petersburg,€18.00m
