name,position,age,nation,club,value
Lamine Yamal,Right Winger,18,Spain,FC Barcelona,€200.00m
Désiré Doué,Right Winger,20,France,Paris Saint-Germain,€90.00m
Pau Cubarsí,Centre-Back,18,Spain,FC Barcelona,€80.00m
João Neves,Defensive Midfield,20,Portugal,Paris Saint-Germain,€80.00m
Estêvão,Right Winger,18,Brazil,Chelsea FC,€60.00m
Dean Huijsen,Centre-Back,20,Spain,Real Madrid,€60.00m
Gavi,Central Midfield,20,Spain,FC Barcelona,€60.00m
Alejandro Balde,Left-Back,21,Spain,FC Barcelona,€60.00m
Leny Yoro,Centre-Back,19,France,Manchester United,€55.00m
Ethan Nwaneri,Right Winger,18,England,Arsenal FC,€55.00m
Warren Zaïre-Emery,Central Midfield,19,France,Paris Saint-Germain,€55.00m
Aleksandar Pavlovic,Defensive Midfield,21,Germany,Bayern Munich,€55.00m
Samu Aghehowa,Centre-Forward,21,Spain,FC Porto,€50.00m
Kenan Yıldız,Left Winger,20,Türkiye,Juventus FC,€50.00m
Kobbie Mainoo,Central Midfield,20,England,Manchester United,€50.00m
Savinho,Right Winger,21,Brazil,Manchester City,€50.00m
Jamie Gittens,Left Winger,20,England,Chelsea FC,€50.00m
Geovany Quenda,Left Winger,18,Portugal,Sporting CP,€45.00m
Ousmane Diomande,Centre-Back,21,Cote d'Ivoire,Sporting CP,€45.00m
Myles Lewis-Skelly,Left-Back,18,England,Arsenal FC,€45.00m
Arda Güler,Right Winger,20,Türkiye,Real Madrid,€45.00m
Alejandro Garnacho,Attacking Midfield,21,Argentina,Manchester United,€45.00m
Adam Wharton,Defensive Midfield,21,England,Crystal Palace,€45.00m
Milos Kerkez,Left-Back,21,Hungary,Liverpool FC,€45.00m
Rayan Cherki,Right Winger,21,France,Manchester City,€45.00m
Carlos Baleba,Defensive Midfield,21,Cameroon,Brighton & Hove Albion,€40.00m
Rodrigo Mora,Attacking Midfield,18,Portugal,FC Porto,€40.00m
Hugo Larsson,Central Midfield,21,Sweden,Eintracht Frankfurt,€40.00m
Rico Lewis,Right-Back,20,England,Manchester City,€40.00m
Roméo Lavia,Defensive Midfield,21,Belgium,Chelsea FC,€40.00m
Archie Gray,Defensive Midfield,19,England,Tottenham Hotspur,€38.00m
Lucas Bergvall,Central Midfield,19,Sweden,Tottenham Hotspur,€38.00m
Endrick,Centre-Forward,19,Brazil,Real Madrid,€35.00m
Nico Paz,Attacking Midfield,20,Argentina,Como 1907,€35.00m
Jorrel Hato,Left-Back,19,Netherlands,Ajax Amsterdam,€35.00m
Santiago Castro,Centre-Forward,20,Argentina,Bologna FC 1909,€35.00m
Mathys Tel,Centre-Forward,20,France,Tottenham Hotspur,€35.00m
Abdukodir Khusanov,Centre-Back,21,Uzbekistan,Manchester City,€35.00m
Andrey Santos,Central Midfield,21,Brazil,Chelsea FC,€35.00m
Jhon Durán,Centre-Forward,21,Colombia,Fenerbahce,€35.00m
Giorgio Scalvini,Centre-Back,21,Italy,Atalanta BC,€35.00m
Lewis Hall,Left-Back,20,England,Newcastle United,€32.00m
António Silva,Centre-Back,21,Portugal,SL Benfica,€32.00m
Jesús Rodríguez,Left Winger,19,Spain,Como 1907,€30.00m
Assane Diao,Left Winger,19,Senegal,Como 1907,€30.00m
Franco Mastantuono,Right Winger,17,Argentina,CA River Plate,€30.00m
Yankuba Minteh,Right Winger,21,The Gambia,Brighton & Hove Albion,€30.00m
Vitor Reis,Centre-Back,19,Brazil,Manchester City,€30.00m
Mikel Jauregizar,Central Midfield,21,Spain,Athletic Bilbao,€30.00m
Tom Bischof,Central Midfield,20,Germany,Bayern Munich,€30.00m
Malick Fofana,Left Winger,20,Belgium,Olympique Lyon,€30.00m
Cristhian Mosquera,Centre-Back,21,Spain,Valencia CF,€30.00m
Marc Casadó,Defensive Midfield,21,Spain,FC Barcelona,€30.00m
Zeno Debast,Centre-Back,21,Belgium,Sporting CP,€30.00m
Ayyoub Bouaddi,Central Midfield,17,France,LOSC Lille,€28.00m
Antonio Nusa,Left Winger,20,Norway,RB Leipzig,€28.00m
Joel Ordóñez,Centre-Back,21,Ecuador,Club Brugge KV,€28.00m
